epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,4.4962523659915785,"tensor(3.4598, device='cuda:0')","tensor(1.1345e-11, device='cuda:0')",4.315059778683544,5.200925313021286,4.340409925079346,4.9000002323150635,1e-05,16,286.07206296920776,286.07205963134766,1034969088.0,16,4102.19091796875,484803.1875
1,4.423791406847906,"tensor(5.4315, device='cuda:0')","tensor(2.2558e-11, device='cuda:0')",4.182749792948167,7.9399162369385605,4.223768407440185,6.940000394439697,1.9e-05,16,545.1752853393555,254.0710756778717,2049884160.0,32,4102.64892578125,484833.8125
2,4.365316830628307,"tensor(5.5804, device='cuda:0')","tensor(3.1790e-11, device='cuda:0')",4.026727303180493,10.203727700090223,4.083185635375976,9.100000384521485,2.8000000000000003e-05,16,799.7024664878845,254.29012203216553,3064799232.0,48,4103.25634765625,484880.28125
3,4.324906849692054,"tensor(8.0729, device='cuda:0')","tensor(3.8909e-11, device='cuda:0')",3.9231542143177234,12.066557239442243,3.985406317138672,10.780000581741334,3.7e-05,16,1053.9895105361938,254.03132557868958,4079714304.0,64,4103.90234375,484928.90625
4,4.259094463172534,"tensor(8.6682, device='cuda:0')","tensor(4.7160e-11, device='cuda:0')",3.800196068050282,13.80703988652366,3.8726686500549317,12.920000650787353,4.6e-05,16,1306.0798020362854,251.84990859031677,5094629376.0,80,4104.74951171875,484994.625
5,4.218415049796409,"tensor(11.3467, device='cuda:0')","tensor(5.3830e-11, device='cuda:0')",3.725671531153109,15.204162018675994,3.8016748931884767,14.000000576782227,5.5e-05,16,1559.9461550712585,253.55041909217834,6109544448.0,96,4105.716796875,485072.65625
6,4.202688910436969,"tensor(10.8631, device='cuda:0')","tensor(5.8660e-11, device='cuda:0')",3.628991059797619,17.239855863666936,3.7107780715942384,15.620000782775879,6.4e-05,16,1811.8219578266144,251.56180787086487,7124459520.0,112,4106.5830078125,485137.71875
7,4.159454698258258,"tensor(11.0119, device='cuda:0')","tensor(6.4599e-11, device='cuda:0')",3.5572133762217737,18.18468929049404,3.6405836448669433,16.560000872802735,7.3e-05,16,2064.683388233185,252.61874318122864,8139374592.0,128,4107.6298828125,485223.3125
8,4.13327585889938,"tensor(12.7232, device='cuda:0')","tensor(6.9033e-11, device='cuda:0')",3.473697259370431,19.89359851645624,3.559316764831543,17.480000999450684,8.2e-05,16,2316.820148706436,251.8199393749237,9154289664.0,144,4108.73486328125,485316.3125
9,4.114984884329721,"tensor(12.3140, device='cuda:0')","tensor(7.3773e-11, device='cuda:0')",3.435220320498826,21.18494993823089,3.5249272842407224,19.08000093536377,9.1e-05,16,2569.3989169597626,252.27826070785522,10169204736.0,160,4109.8251953125,485409.1875
10,4.074148215300648,"tensor(12.1280, device='cuda:0')","tensor(7.8355e-11, device='cuda:0')",3.3482750330633824,22.113207388172984,3.4463723037719727,20.240000552368166,9.989038226169209e-05,16,2822.1409800052643,252.50782179832458,11184119808.0,176,4110.9990234375,485512.875
11,4.049404758088132,"tensor(13.8765, device='cuda:0')","tensor(7.6427e-11, device='cuda:0')",3.319587365457965,23.249849113782957,3.423726509094238,20.2800012216568,9.986737385021142e-05,16,3074.7162313461304,252.26657485961914,12199034880.0,192,4112.10595703125,485613.1875
12,4.007831986914289,"tensor(15.6622, device='cuda:0')","tensor(7.3701e-11, device='cuda:0')",3.2377934487337288,24.434640223250764,3.334356568527222,21.780001040649413,9.98421786662277e-05,16,3326.5007832050323,251.54875826835632,13213949952.0,208,4113.212890625,485709.46875
13,3.9755827315310213,"tensor(15.7738, device='cuda:0')","tensor(7.3046e-11, device='cuda:0')",3.2322028109268315,25.055057233161794,3.34286985244751,22.160000958251953,9.981479793771867e-05,16,3578.653777360916,251.92236995697021,14228865024.0,224,4114.27685546875,485805.0
14,3.946704355537469,"tensor(15.1414, device='cuda:0')","tensor(inf, device='cuda:0')",3.109412916117514,26.584787594363945,3.2324544120788574,23.680001235961914,9.97852329991824e-05,16,3830.7003135681152,251.8070147037506,15243780096.0,240,4115.3408203125,485898.03125
15,3.951363332728122,"tensor(18.6384, device='cuda:0')","tensor(6.8075e-11, device='cuda:0')",3.0898947177022,27.820096116507514,3.2147280834198,25.040000999450683,9.97534852915723e-05,16,4083.2383489608765,252.2845094203949,16258695168.0,256,4116.23193359375,485977.03125
16,3.9510156719397145,"tensor(16.1830, device='cuda:0')","tensor(6.6266e-11, device='cuda:0')",3.0669641770264082,28.36394758829487,3.192228084564209,24.820000833129882,9.971955636222684e-05,16,4335.42685008049,251.95099115371704,17273610240.0,272,4116.9775390625,486037.75
17,3.9087976749907147,"tensor(16.0342, device='cuda:0')","tensor(6.5882e-11, device='cuda:0')",3.0091040305458834,29.36166648418204,3.1464433181762694,25.940001345825195,9.968344786479416e-05,16,4587.379300832748,251.7040114402771,18288525312.0,288,4117.8681640625,486115.59375
18,3.9038064488282442,"tensor(19.5313, device='cuda:0')","tensor(6.4004e-11, device='cuda:0')",2.964439205311153,30.273347919495336,3.106374893951416,27.120001156616212,9.964516155915151e-05,16,4840.233361721039,252.6035394668579,19303440384.0,304,4118.630859375,486179.28125
19,3.8665454861120128,"tensor(23.0283, device='cuda:0')","tensor(6.4008e-11, device='cuda:0')",2.9555815395977945,30.514094917396065,3.0925470294952393,27.040001568603515,9.960469931131939e-05,16,5091.879508256912,251.41127967834473,20318355456.0,320,4119.41064453125,486250.21875
20,3.8535698855176883,"tensor(22.2470, device='cuda:0')","tensor(6.2335e-11, device='cuda:0')",2.9132468285520825,31.459717643332564,3.0562548278808594,27.40000146179199,9.956206309337068e-05,16,5342.8274166584015,250.71520733833313,21333270528.0,336,4120.16552734375,486314.625
21,3.8466365937645555,"tensor(20.3869, device='cuda:0')","tensor(inf, device='cuda:0')",2.8542308403136603,32.754226450881,3.0066771549224853,28.860001126098634,9.951725498333448e-05,16,5593.618180274963,250.53743743896484,22348185600.0,352,4120.8310546875,486371.84375
22,3.8081282301152006,"tensor(16.5179, device='cuda:0')","tensor(6.1107e-11, device='cuda:0')",2.845357632187057,33.35806727494614,2.9912621311187744,29.56000110168457,9.947027716509488e-05,16,5845.379964351654,251.4438920021057,23363100672.0,368,4121.62451171875,486440.125
23,3.8293184473159467,"tensor(22.0982, device='cuda:0')","tensor(5.8902e-11, device='cuda:0')",2.8018448783942804,34.03926300680129,2.9531033191680907,30.140001287841798,9.942113192828447e-05,16,6095.684242963791,250.05995082855225,24378015744.0,384,4122.25830078125,486490.625
24,3.7941493463854417,"tensor(24.5908, device='cuda:0')","tensor(5.8450e-11, device='cuda:0')",2.7481281791511587,34.789920296056366,2.9078333663940428,30.48000144042969,9.936982166817273e-05,16,6345.455847263336,249.5229012966156,25392930816.0,400,4122.94140625,486549.90625
25,3.827313259983739,"tensor(21.1682, device='cuda:0')","tensor(5.7172e-11, device='cuda:0')",2.7673792996604645,35.03619254663217,2.9258612758636473,30.940001641845704,9.931634888554937e-05,16,6596.199165344238,250.43897247314453,26407845888.0,416,4123.41845703125,486588.84375
26,3.7541375718218215,"tensor(17.5223, device='cuda:0')","tensor(5.7137e-11, device='cuda:0')",2.721434062139761,35.321142303924724,2.896107508850098,30.820001556396484,9.926071618660238e-05,16,6847.668328762054,251.21590876579285,27422760960.0,432,4124.13525390625,486649.21875
27,3.7790896562819785,"tensor(21.1310, device='cuda:0')","tensor(5.5691e-11, device='cuda:0')",2.6652518028736414,36.440418663513,2.842453526687622,31.6800015625,9.9202926282791e-05,16,7099.986766815186,252.0721971988678,28437676032.0,448,4124.70458984375,486697.15625
