epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1993132411956786,2.0184998043060305,27.12,81.45,1e-05,2,24.85262966156006,24.85262680053711,146918400.0,2,537.8654174804688,65003.04296875
1,2.1247621292114256,1.8893744304656983,31.64,84.24,1.9e-05,2,47.14786076545715,22.254288911819458,273782784.0,4,538.0659790039062,65015.203125
2,2.0886105648040774,1.8249732046127318,36.2,86.78,2.8000000000000003e-05,2,69.41449856758118,22.230883836746216,400647168.0,6,538.2332763671875,65027.14453125
3,2.0667877937316894,1.773029048347473,38.42,88.06,3.7e-05,2,91.67255425453186,22.221136331558228,527511552.0,8,538.4049072265625,65040.4921875
4,2.0492185277938844,1.7164591238021851,38.88,88.53,4.6e-05,2,113.93403935432434,22.217568159103394,654375936.0,10,538.603759765625,65055.80078125
5,2.02685177898407,1.6808221218109132,41.3,89.74,5.5e-05,2,136.26007533073425,22.25772523880005,781240320.0,12,538.8256225585938,65075.59765625
6,2.0122704778671263,1.6319472719192505,43.17,90.38,6.4e-05,2,158.50363516807556,22.20197319984436,908104704.0,14,539.0656127929688,65096.53515625
7,1.9981769052505494,1.5938458181381225,45.01,91.5,7.3e-05,2,180.74953961372375,22.2055242061615,1034969088.0,16,539.2764892578125,65117.3984375
8,1.9910321084976197,1.5807863096237182,45.48,91.36,8.2e-05,2,203.0200068950653,22.231953144073486,1161833472.0,18,539.4777221679688,65137.8359375
9,1.9864370454788207,1.5419149570465087,47.87,92.16,9.1e-05,2,225.27440309524536,22.213146686553955,1288697856.0,20,539.65869140625,65156.859375
10,1.9710309614181518,1.535452359199524,48.52,92.36,9.97534852915723e-05,2,247.55149483680725,22.20844578742981,1415562240.0,22,539.887939453125,65181.6796875
11,1.96843343334198,1.501877406692505,48.92,92.04,9.970177445201784e-05,2,269.76975417137146,22.181893348693848,1542426624.0,24,540.0999755859375,65205.08984375
12,1.940019589805603,1.4937096590042114,49.42,93.08,9.964516155915151e-05,2,292.01435112953186,22.209895372390747,1669291008.0,26,540.3369750976562,65232.2421875
13,1.9243430894851685,1.443759232521057,52.24,93.32,9.958365282121497e-05,2,314.2783353328705,22.193902730941772,1796155392.0,28,540.5855102539062,65260.37890625
14,1.9225384159088135,1.4271721000671387,52.73,93.52,9.951725498333448e-05,2,336.5042767524719,22.190497875213623,1923019776.0,30,540.7840576171875,65282.4609375
