epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.174075324821472,1.9369766399383546,30.8,83.92,1e-05,8,37.944990158081055,37.944971799850464,527511552.0,8,2067.59228515625,245148.578125
1,2.095595890045166,1.8193895822525024,36.78,86.84,1.9e-05,8,73.24807929992676,35.19486951828003,1034969088.0,16,2067.68115234375,245145.921875
2,2.072910294342041,1.7543129261016845,38.22,88.15,2.8000000000000003e-05,8,108.46009564399719,35.105913162231445,1542426624.0,24,2067.723388671875,245134.78125
3,2.049179497718811,1.709985361289978,40.41,89.32,3.7e-05,8,143.70584917068481,35.1218101978302,2049884160.0,32,2067.80126953125,245126.4375
4,2.0325175662994384,1.6695915199279785,42.84,90.25,4.6e-05,8,178.9933032989502,35.1814284324646,2557341696.0,40,2067.845947265625,245114.8125
5,2.0092734451293945,1.6096635538101196,44.53,91.66,5.5e-05,8,214.28305745124817,35.18269610404968,3064799232.0,48,2067.896240234375,245103.40625
6,1.9910461778640747,1.5853261249542236,44.78,91.63,6.4e-05,8,249.567302942276,35.17755603790283,3572256768.0,56,2067.92138671875,245084.703125
7,1.970190923500061,1.5443404642105103,47.39,92.77,7.3e-05,8,284.83259773254395,35.159956216812134,4079714304.0,64,2067.96875,245071.171875
8,1.9587807399749755,1.5183447038650513,48.76,92.64,8.2e-05,8,320.0765972137451,35.13591814041138,4587171840.0,72,2067.999755859375,245052.484375
9,1.9518481218338013,1.4687366716384889,51.18,93.04,9.1e-05,8,355.22888135910034,35.04710364341736,5094629376.0,80,2068.049072265625,245040.453125
10,1.9379327243804931,1.4262980611801148,51.62,93.58,9.97534852915723e-05,8,390.30723881721497,34.971771001815796,5602086912.0,88,2068.137939453125,245030.171875
11,1.9173041650772096,1.41073415851593,52.17,93.66,9.970177445201784e-05,8,425.40515899658203,34.993175983428955,6109544448.0,96,2068.202392578125,245018.203125
12,1.9020798942565917,1.345230757522583,55.54,94.33,9.964516155915151e-05,8,460.5321819782257,34.9981324672699,6617001984.0,104,2068.284423828125,245009.96875
13,1.8904154132843018,1.346857061958313,55.6,94.54,9.958365282121497e-05,8,495.66647720336914,35.031084299087524,7124459520.0,112,2068.351806640625,244998.8125
14,1.8714923357009887,1.3049456298828126,56.19,94.3,9.951725498333448e-05,8,530.7895982265472,35.019768953323364,7631917056.0,120,2068.46923828125,244996.296875
15,1.863288662147522,1.2744496435165404,58.56,94.91,9.94459753267812e-05,8,565.9213268756866,35.029157638549805,8139374592.0,128,2068.501708984375,244984.390625
16,1.859474479675293,1.2404061758041383,58.48,95.18,9.936982166817273e-05,8,601.0261805057526,35.00049877166748,8646832128.0,136,2068.612548828125,244974.109375
17,1.8490188552856446,1.2274131700515747,59.95,95.49,9.928880235861588e-05,8,636.1533529758453,35.0236291885376,9154289664.0,144,2068.675537109375,244965.09375
18,1.8385993877410889,1.2167269660949707,60.54,95.18,9.9202926282791e-05,8,671.2596476078033,35.00363302230835,9661747200.0,152,2068.778076171875,244962.03125
19,1.8318254823684692,1.181310251235962,61.06,95.88,9.911220285797748e-05,8,706.3751571178436,35.01318693161011,10169204736.0,160,2068.818603515625,244950.375
20,1.8380384214401244,1.1645560844421388,61.74,96.1,9.901664203302126e-05,8,741.4559640884399,34.977686643600464,10676662272.0,168,2068.884521484375,244940.5625
21,1.8245175241470337,1.1387234159469604,62.92,96.08,9.891625428724365e-05,8,776.5502238273621,34.99303460121155,11184119808.0,176,2068.96142578125,244934.203125
22,1.8111616931915284,1.1276239358901978,63.6,96.25,9.881105062929222e-05,8,811.6591954231262,35.00713872909546,11691577344.0,184,2069.062255859375,244931.5
23,1.7955233991622925,1.120064150238037,64.41,96.33,9.870104259593363e-05,8,846.8052108287811,35.04262113571167,12199034880.0,192,2069.143798828125,244925.953125
24,1.7829844106674195,1.0745026767730712,65.35,97.12,9.858624225078841e-05,8,881.9209728240967,35.01369309425354,12706492416.0,200,2069.2490234375,244925.40625
25,1.797745313835144,1.0678630443572998,65.85,96.84,9.846666218300807e-05,8,917.0273311138153,35.002827644348145,13213949952.0,208,2069.27099609375,244914.1875
26,1.7746178157806396,1.0565123054504395,66.97,96.97,9.834231550589462e-05,8,952.1037874221802,34.97478270530701,13721407488.0,216,2069.33056640625,244910.671875
27,1.750909038925171,1.0338497676849365,67.79,97.35,9.821321585546244e-05,8,987.2258532047272,35.00213289260864,14228865024.0,224,2069.52734375,244921.4375
28,1.7618429658889772,1.048754105758667,67.92,97.01,9.807937738894302e-05,8,1022.3636102676392,35.02575922012329,14736322560.0,232,2069.650146484375,244923.21875
29,1.7437540702819825,0.9872148244857788,69.76,97.31,9.794081478323246e-05,8,1057.4681956768036,35.00286102294922,15243780096.0,240,2069.778076171875,244925.078125
30,1.7492823316574098,1.0027975574493408,69.13,96.93,9.779754323328192e-05,8,1092.5370194911957,34.96663522720337,15751237632.0,248,2069.8681640625,244924.625
31,1.7352285737991333,0.9864031562805176,70.75,97.56,9.764957845043137e-05,8,1127.5990526676178,34.96004009246826,16258695168.0,256,2069.955322265625,244923.890625
32,1.724811372756958,0.9683733722686768,70.97,97.59,9.749693666068666e-05,8,1162.6948463916779,34.991549015045166,16766152704.0,264,2070.0556640625,244922.078125
33,1.7386672735214233,0.9618119897842408,71.21,97.75,9.733963460294015e-05,8,1197.8769555091858,35.07887029647827,17273610240.0,272,2070.1650390625,244925.640625
34,1.711083030319214,0.9340005247116089,71.58,97.29,9.717768952713513e-05,8,1233.1491367816925,35.16870474815369,17781067776.0,280,2070.21875,244921.21875
35,1.711942123222351,0.9595289421081543,71.66,97.35,9.701111919237408e-05,8,1268.5095658302307,35.16783165931702,18288525312.0,288,2070.27783203125,244918.921875
36,1.7021720514297485,0.9038117776870728,72.23,97.7,9.683994186497131e-05,8,1303.7610411643982,35.148571729660034,18795982848.0,296,2070.38330078125,244916.671875
37,1.7179667200088502,0.9099131750106811,72.52,97.72,9.666417631644977e-05,8,1338.9227657318115,35.059462785720825,19303440384.0,304,2070.426025390625,244908.203125
38,1.6907054948806763,0.8870103219985962,73.5,97.83,9.648384182148252e-05,8,1374.0051591396332,34.978766679763794,19810897920.0,312,2070.5751953125,244914.390625
39,1.690257133102417,0.8948894428253173,72.71,97.75,9.629895815577916e-05,8,1409.0828025341034,34.97559332847595,20318355456.0,320,2070.646728515625,244912.109375
