epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.204037673647364,2.0314763391494752,25.14,80.6,1e-05,1,34.04181098937988,34.041807651519775,83486208.0,1,4102.39892578125,485036.3125
1,2.134795193635547,1.9040057357788085,32.55,84.23,1.9e-05,1,58.647623777389526,24.495011806488037,146918400.0,2,4102.73779296875,485066.1875
2,2.0954941286778177,1.827413589668274,35.73,86.71,2.8000000000000003e-05,1,83.25932288169861,24.503795385360718,210350592.0,3,4103.01611328125,485092.75
3,2.079580101405155,1.7882694499969483,36.95,88.16,3.7e-05,1,107.80044150352478,24.434866428375244,273782784.0,4,4103.2236328125,485113.96875
4,2.0620956063728477,1.7684887006759644,38.25,88.19,4.6e-05,1,132.22412252426147,24.320324659347534,337214976.0,5,4103.44580078125,485136.46875
5,2.049807214095864,1.7298372894287108,40.3,89.22,5.5e-05,1,156.7317750453949,24.391981840133667,400647168.0,6,4103.681640625,485161.5625
6,2.030548320384398,1.7092459226608276,40.91,89.55,6.4e-05,1,181.14700722694397,24.30018973350525,464079360.0,7,4103.95458984375,485189.46875
7,2.0295586673001473,1.6652242378234863,42.21,90.26,7.3e-05,1,205.54122686386108,24.293179035186768,527511552.0,8,4104.21875,485217.9375
8,2.014727626964164,1.659183718109131,43.19,90.87,8.2e-05,1,229.96551775932312,24.323620796203613,590943744.0,9,4104.451171875,485244.8125
9,2.006812071525486,1.6385133295059204,44.33,90.85,9.1e-05,1,254.34455633163452,24.2719144821167,654375936.0,10,4104.70361328125,485274.90625
10,1.9966586043678998,1.5967506465911865,45.54,90.95,9.97534852915723e-05,1,278.74048233032227,24.28196382522583,717808128.0,11,4104.9462890625,485304.90625
11,1.9874248745804712,1.5809694705963135,46.99,91.84,9.970177445201784e-05,1,303.23444390296936,24.354076147079468,781240320.0,12,4105.1591796875,485332.21875
