epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.148457474195698,1.8761987297058105,33.49,85.48,1e-05,1,69.7227783203125,69.72277545928955,83486208.0,1,4102.08447265625,484987.125
1,2.0806243335697014,1.7591970123291016,37.43,87.32,1.9e-05,1,136.87144827842712,66.94416117668152,146918400.0,2,4102.009765625,484954.1875
2,2.0472488626169945,1.678498494720459,41.98,89.92,2.8000000000000003e-05,1,203.9265284538269,66.85827898979187,210350592.0,3,4101.80517578125,484897.71875
3,2.028922422594664,1.6327857753753663,43.09,90.68,3.7e-05,1,271.2148609161377,67.09007859230042,273782784.0,4,4101.61865234375,484838.5625
4,2.0028355866479814,1.5615645828247071,46.15,92.49,4.6e-05,1,338.5764331817627,67.16284561157227,337214976.0,5,4101.28662109375,484757.59375
5,1.9827541218219127,1.5218781408309936,47.11,92.44,5.5e-05,1,405.9135408401489,67.07307434082031,400647168.0,6,4101.03955078125,484684.53125
6,1.9558765666890847,1.4952118200302125,50.29,92.87,6.4e-05,1,473.18523120880127,67.04536652565002,464079360.0,7,4100.646484375,484588.3125
7,1.9535465339692393,1.4152834869384765,51.77,93.49,7.3e-05,1,540.3934092521667,67.00834107398987,527511552.0,8,4100.3330078125,484499.75
8,1.9305844793856983,1.3919746795654298,54.14,94.72,8.2e-05,1,607.6297681331635,67.0382890701294,590943744.0,9,4099.99267578125,484404.28125
9,1.9179259146374106,1.3781409328460694,53.81,94.26,9.1e-05,1,675.0809900760651,67.17874693870544,654375936.0,10,4099.7724609375,484321.0
10,1.9068923127788588,1.3118053701400756,56.24,94.43,9.97534852915723e-05,1,742.6515161991119,67.3727355003357,717808128.0,11,4099.400390625,484223.875
11,1.8869442982496587,1.2685730379104614,57.03,95.48,9.970177445201784e-05,1,810.0782148838043,67.2238347530365,781240320.0,12,4099.20947265625,484146.40625
12,1.8667972883097494,1.2371833316802978,59.73,95.89,9.964516155915151e-05,1,877.4446218013763,67.16811561584473,844672512.0,13,4099.04736328125,484071.3125
13,1.8613604926879823,1.2207350025177002,59.93,96.26,9.958365282121497e-05,1,944.8227052688599,67.14589643478394,908104704.0,14,4098.837890625,483991.9375
14,1.8420255643610155,1.193914875793457,61.91,96.0,9.951725498333448e-05,1,1012.1405508518219,67.12017607688904,971536896.0,15,4098.7080078125,483915.84375
15,1.8387611779299649,1.1649972221374512,62.67,96.19,9.94459753267812e-05,1,1079.4258649349213,67.08006191253662,1034969088.0,16,4098.5068359375,483839.3125
16,1.8030822666292765,1.1119496160507203,63.52,96.89,9.936982166817273e-05,1,1146.7794811725616,67.13055181503296,1098401280.0,17,4098.54345703125,483785.78125
17,1.8079772151233902,1.102631255054474,64.97,96.39,9.928880235861588e-05,1,1214.180701971054,67.2034318447113,1161833472.0,18,4098.50390625,483724.8125
18,1.7825743706369828,1.077084932613373,66.14,96.97,9.9202926282791e-05,1,1281.6930422782898,67.31260418891907,1225265664.0,19,4098.5244140625,483676.40625
19,1.7970471864473194,1.0701311990737914,66.4,96.99,9.911220285797748e-05,1,1349.2942695617676,67.40273404121399,1288697856.0,20,4098.3779296875,483608.875
20,1.7723613612630456,1.0309286836624145,68.13,97.32,9.901664203302126e-05,1,1416.968388557434,67.4071798324585,1352130048.0,21,4098.26416015625,483545.21875
21,1.748263520712126,1.008713011264801,69.1,97.58,9.891625428724365e-05,1,1484.5442154407501,67.3799262046814,1415562240.0,22,4098.30517578125,483498.09375
22,1.7501507916615349,0.9946204106330871,69.31,97.36,9.881105062929222e-05,1,1552.1392831802368,67.39824509620667,1478994432.0,23,4098.1884765625,483441.28125
23,1.7408376559710532,0.9617360397338868,70.88,97.34,9.870104259593363e-05,1,1619.758505821228,67.42020726203918,1542426624.0,24,4098.06201171875,483377.40625
24,1.7374147054633167,0.9676115159988403,70.61,97.27,9.858624225078841e-05,1,1687.039659500122,67.08452105522156,1605858816.0,25,4097.92041015625,483311.375
