epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,4.444956216821168,4.8046875,"tensor(5.4379e-11, device='cuda:0')",4.187150484705108,7.242933482780668,4.219717910766602,6.4,1e-05,8,2530.624171733856,2530.6241688728333,1209648427008.0,8,4102.673828125,484819.09375
1,4.363862965812358,6.875,"tensor(9.2114e-11, device='cuda:0')",4.041517373112355,9.628302378264884,4.085219919204712,8.5,1.9e-05,8,5053.078897476196,2520.8271610736847,2418314207232.0,16,4102.97509765625,484796.9375
2,4.290380605734369,7.9296875,"tensor(1.1626e-10, device='cuda:0')",3.8218464437131137,13.617599002281176,3.8729141330718995,12.42,2.8000000000000003e-05,8,7581.107058048248,2527.5979342460632,3626979987456.0,24,4103.34130859375,484752.09375
3,4.198108649306543,10.0,"tensor(1.3867e-10, device='cuda:0')",3.640089080877754,16.567342073897496,3.69689195728302,15.42,3.7e-05,8,10112.322952747345,2530.7811267375946,4835645767680.0,32,4103.91748046875,484724.9375
4,4.127502211118143,11.3671875,"tensor(1.5765e-10, device='cuda:0')",3.5069282070690435,19.545501188023717,3.5700094966888427,17.5,4.6e-05,8,12644.683398723602,2531.4790692329407,6044311547904.0,40,4104.07861328125,484629.6875
5,4.072855444032761,13.7109375,"tensor(1.7013e-10, device='cuda:0')",3.3872138071448235,22.342113364260264,3.453420075416565,20.54,5.5e-05,8,15176.451644182205,2531.5775492191315,7252977328128.0,48,4104.4736328125,484554.46875
6,4.005189734827203,16.015625,"tensor(1.8154e-10, device='cuda:0')",3.243820992505928,24.61066075207061,3.3237379064559938,22.3,6.4e-05,8,17707.837967157364,2531.1186623573303,8461643108352.0,56,4104.79931640625,484451.21875
7,3.9545808629655372,15.3515625,"tensor(1.9060e-10, device='cuda:0')",3.1544150704088456,26.71265855760775,3.25328037071228,23.92,7.3e-05,8,20237.887903928757,2529.8589828014374,9670308888576.0,64,4105.162109375,484361.40625
