epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1633098920822142,18.629807692307693,"tensor(2.4973e-11, device='cuda:0')",1.906581964492798,30.98,1.9022287746429443,31.31,1e-05,12,61.215858697891235,61.215855836868286,781240320.0,12,3085.87646484375,365120.625
1,2.0981483852386473,25.240384615384617,"tensor(4.6165e-11, device='cuda:0')",1.814872310447693,36.67,1.8049773538589478,36.63,1.9e-05,12,112.13797163963318,50.042330503463745,1542426624.0,24,3085.891357421875,365104.15625
2,2.0698317232131958,27.64423076923077,"tensor(6.2844e-11, device='cuda:0')",1.727565385055542,39.52,1.719829740524292,40.0,2.8000000000000003e-05,12,162.40150594711304,50.09415793418884,2303612928.0,36,3085.807373046875,365072.84375
3,2.043466667366028,28.966346153846153,"tensor(7.7226e-11, device='cuda:0')",1.688393222618103,42.18,1.677919220352173,42.81,3.7e-05,12,212.61507654190063,50.04345726966858,3064799232.0,48,3085.773681640625,365043.21875
4,2.0209528282165525,32.57211538461539,"tensor(8.8449e-11, device='cuda:0')",1.6090640558242797,44.08,1.5947534650802613,45.11,4.6e-05,12,262.8669641017914,50.083518981933594,3825985536.0,60,3085.726318359375,365006.21875
5,1.9989042766571046,35.69711538461539,"tensor(1.0102e-10, device='cuda:0')",1.564213816833496,45.5,1.554721632194519,46.03,5.5e-05,12,313.1558647155762,50.11809253692627,4587171840.0,72,3085.6962890625,364973.625
6,1.989902650642395,33.89423076923077,"tensor(1.0960e-10, device='cuda:0')",1.5524059175491334,47.11,1.547553867340088,47.37,6.4e-05,12,363.37517285346985,50.04715657234192,5348358144.0,84,3085.52392578125,364924.0625
7,1.9708556371688843,31.85096153846154,"tensor(1.2094e-10, device='cuda:0')",1.5025902263641358,48.62,1.4905107143402099,48.94,7.3e-05,12,413.48994612693787,49.94587469100952,6109544448.0,96,3085.444580078125,364882.5625
8,1.961752709197998,38.58173076923077,"tensor(1.2586e-10, device='cuda:0')",1.5222317045211793,47.87,1.5143914617538452,48.07,8.2e-05,12,463.70642709732056,50.047295331954956,6870730752.0,108,3085.302001953125,364832.71875
9,1.9490319751739502,35.21634615384615,"tensor(1.3160e-10, device='cuda:0')",1.4407529825210572,52.01,1.4376026500701904,52.45,9.1e-05,12,513.9057440757751,50.028940200805664,7631917056.0,120,3085.206787109375,364788.125
10,1.9234667934417724,35.69711538461539,"tensor(1.4080e-10, device='cuda:0')",1.3843181327819825,53.32,1.384723611831665,53.45,9.97534852915723e-05,12,564.1468906402588,50.07088494300842,8393103360.0,132,3085.2099609375,364752.96875
11,1.9041220754623414,36.65865384615385,"tensor(1.3287e-10, device='cuda:0')",1.3783877822875976,56.11,1.3734434085845948,55.46,9.970177445201784e-05,12,614.3660237789154,50.04988384246826,9154289664.0,144,3085.17333984375,364716.4375
12,1.8919449714660646,39.42307692307692,"tensor(1.2651e-10, device='cuda:0')",1.333147604751587,56.52,1.3381875774383545,56.0,9.964516155915151e-05,12,664.5926139354706,50.057883977890015,9915475968.0,156,3085.16650390625,364675.34375
13,1.8914295360565185,44.83173076923077,"tensor(1.2072e-10, device='cuda:0')",1.282444066619873,57.53,1.288585920715332,57.15,9.958365282121497e-05,12,714.8203682899475,50.05777645111084,10676662272.0,168,3085.04541015625,364628.1875
14,1.867335294342041,39.42307692307692,"tensor(1.1764e-10, device='cuda:0')",1.259437960243225,58.19,1.2621485795974732,58.12,9.951725498333448e-05,12,765.0847325325012,50.09519839286804,11437848576.0,180,3085.06494140625,364595.84375
15,1.854467844581604,42.78846153846154,"tensor(1.1561e-10, device='cuda:0')",1.2481650407791138,60.27,1.2564053829193116,59.67,9.94459753267812e-05,12,815.2782254219055,50.02483582496643,12199034880.0,192,3084.99609375,364561.9375
16,1.8502368385314942,41.94711538461539,"tensor(1.1163e-10, device='cuda:0')",1.240349408531189,60.61,1.246257081604004,60.39,9.936982166817273e-05,12,865.5497674942017,50.102136850357056,12960221184.0,204,3084.89990234375,364518.25
17,1.8223092031478882,44.23076923076923,"tensor(1.0969e-10, device='cuda:0')",1.166413863658905,62.68,1.1744626726150513,62.51,9.928880235861588e-05,12,915.8075754642487,50.08747625350952,13721407488.0,216,3084.959716796875,364491.0
18,1.8375506286621093,43.50961538461539,"tensor(1.0553e-10, device='cuda:0')",1.1883970547676086,62.51,1.198972229576111,61.67,9.9202926282791e-05,12,966.0790452957153,50.10187864303589,14482593792.0,228,3084.8759765625,364450.15625
