epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
32,3.2196285009384153,1.3037747299194336,67.1,89.2,0.0006877189764357167
33,3.2681345701217652,1.351228489780426,68.4,89.4,0.0006865005727562758
34,3.1807051301002502,1.3433682776927949,67.8,89.56,0.0006852462059726819
35,3.1207119703292845,1.3080383758544922,69.66,90.16,0.0006839560136403881
36,3.0872289180755614,1.3795556880950928,69.12,90.62,0.000682630137243523
37,3.164828383922577,1.2805458467483521,69.74,90.22,0.0006812687221793747
38,3.054491364955902,1.2194429801940918,70.64,90.96,0.0006798719177424468
39,3.008955717086792,1.2827840979099274,69.82,90.44,0.0006784398771080862
40,3.0904003500938417,1.1727995306015015,70.84,91.14,0.0006769727573156863
41,3.024461042881012,1.205462578201294,71.02,91.16,0.0006754707192514652
42,3.1850784540176393,1.2763236778259277,72.28,91.72,0.000673933927630823
43,3.1269200921058653,1.177005131340027,72.22,91.98,0.000672362550980279
44,3.0576535940170286,1.1893622747421264,70.7,91.06,0.0006707567616189907
45,2.8796902298927307,1.1732804408073425,72.04,91.42,0.0006691167356398573
46,2.8954655289649964,1.305709310913086,71.56,91.36,0.0006674426528902087
47,2.9839323282241823,1.1713605521202088,72.72,91.84,0.0006657346969520836
48,3.1642173409461973,1.1113177550315856,73.08,92.36,0.0006639930551220976
49,3.0273321628570558,1.1323689215660095,73.28,91.82,0.0006622179183909039
50,2.92719042301178,1.0994462591648102,73.72,92.36,0.0006604094814222489
51,2.933642554283142,1.1076048509120942,73.72,92.52,0.0006585679425316256
52,2.8743425011634827,1.137305861568451,73.94,92.28,0.0006566935036645256
53,2.867570424079895,1.0894291264533997,75.4,92.96,0.0006547863703742936
54,3.045678901672363,1.1729157245635986,75.38,92.8,0.0006528467517995862
55,2.8847245812416076,1.0928269498825074,75.2,92.9,0.000650874860641438
56,2.8654273986816405,1.0899400159835815,74.98,93.18,0.0006488709131399354
57,2.9688371539115908,1.0717482655525208,74.96,93.14,0.0006468351290505043
58,2.934096884727478,1.1174418228149414,74.56,92.68,0.0006447677316198117
59,2.83963828086853,1.04862252035141,74.96,92.7,0.0006426689475612828
60,2.9580075263977053,1.06156745967865,75.36,93.06,0.0006405390070302413
61,2.8394425392150877,1.1314223690032958,76.52,93.26,0.0006383781435986683
62,2.9523829102516173,1.0491552593231201,76.66,93.4,0.0006361865942295899
63,2.6556805431842805,0.9972143791198731,76.76,93.6,0.0006339645992510909
