epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,2.205884586375746,2.038246673774719,25.5,80.2,1e-05
1,2.1442674413685916,1.9277369373321533,30.77,84.08,1.9e-05
2,2.104620788680454,1.8330961826324463,34.87,86.51,2.8000000000000003e-05
3,2.0747794050260633,1.7816079540252685,37.03,87.76,3.7e-05
4,2.06209872855725,1.7724849342346192,37.84,87.87,4.6e-05
5,2.0472255647564057,1.7258722274780274,40.48,89.53,5.5e-05
6,2.0326705696335523,1.6874766828536987,42.16,90.34,6.4e-05
7,2.022939764583309,1.6621946365356446,42.45,90.11,7.3e-05
8,2.01415341626972,1.655238275718689,43.07,90.2,8.2e-05
9,1.9941033642362236,1.6126482767105104,45.38,91.46,9.1e-05
10,1.9946809115696809,1.5859471952438355,46.5,91.33,9.97534852915723e-05
11,1.9838477933299985,1.5714566925048827,46.8,91.98,9.970177445201784e-05
12,1.9779105980173421,1.5513877559661866,47.23,92.24,9.964516155915151e-05
13,1.9682662114596396,1.5308748826980592,48.98,92.29,9.958365282121497e-05
14,1.959727907608169,1.5070268779754639,50.09,93.27,9.951725498333448e-05
15,1.948829071775136,1.5127960485458374,48.96,92.74,9.94459753267812e-05
16,1.9452457777516636,1.4946682723999023,50.45,93.32,9.936982166817273e-05
17,1.933487561692349,1.4681085229873658,50.37,92.97,9.928880235861588e-05
18,1.9408096476492596,1.4854006416320802,50.98,92.62,9.9202926282791e-05
19,1.9173103424406845,1.4589459321975708,51.7,93.51,9.911220285797748e-05
20,1.9248350840371946,1.448054211616516,51.58,93.43,9.901664203302126e-05
21,1.9162118463906985,1.4438569972991944,52.11,93.19,9.891625428724365e-05
22,1.915066208637936,1.4299679092407227,53.1,93.73,9.881105062929222e-05
23,1.911367208795877,1.4105051536560058,53.51,93.91,9.870104259593363e-05
24,1.9093283152305516,1.4129314456939697,53.11,93.79,9.858624225078841e-05
25,1.9069861230105352,1.40516409034729,54.8,94.03,9.846666218300807e-05
26,1.8949786754332187,1.3995165618896483,53.58,93.9,9.834231550589462e-05
27,1.895984877239574,1.4039641584396363,54.76,94.16,9.821321585546244e-05
28,1.9005809369068902,1.3836076663970946,54.69,94.13,9.807937738894302e-05
29,1.8942415328092979,1.3814590829849243,55.37,94.25,9.794081478323246e-05
30,1.884995805316637,1.393508060646057,54.37,94.16,9.779754323328192e-05
