epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.171888133811951,18.028846153846153,"tensor(3.1176e-11, device='cuda:0')",1.9361084863662719,29.18,1.9317952064514161,30.71,1e-05,8,53.214552879333496,53.214550495147705,527511552.0,8,4102.21826171875,485008.125
1,2.105042767906189,24.278846153846153,"tensor(5.8019e-11, device='cuda:0')",1.828766506958008,35.86,1.820144508934021,36.22,1.9e-05,8,95.06962585449219,41.70742392539978,1034969088.0,16,4102.2822265625,485003.15625
2,2.0630867847442627,27.52403846153846,"tensor(8.0342e-11, device='cuda:0')",1.7357354915618897,38.2,1.7287439184188842,38.62,2.8000000000000003e-05,8,137.07162141799927,41.844072341918945,1542426624.0,24,4102.31396484375,484990.875
3,2.0400068843841552,31.610576923076923,"tensor(9.7573e-11, device='cuda:0')",1.6936667587280274,40.94,1.6830297878265381,40.85,3.7e-05,8,178.97608089447021,41.76139783859253,2049884160.0,32,4102.40283203125,484983.03125
4,2.030484616470337,28.245192307692307,"tensor(1.1336e-10, device='cuda:0')",1.6579150518417358,43.04,1.649116340827942,44.13,4.6e-05,8,220.8043248653412,41.68550205230713,2557341696.0,40,4102.43798828125,484969.53125
5,2.007900909423828,30.048076923076923,"tensor(1.2800e-10, device='cuda:0')",1.6129343940734864,46.13,1.6100244501113892,45.99,5.5e-05,8,262.69496512413025,41.7467896938324,3064799232.0,48,4102.4951171875,484955.9375
6,1.9808560449600219,36.65865384615385,"tensor(1.4092e-10, device='cuda:0')",1.5508119249343872,46.89,1.545922162437439,47.11,6.4e-05,8,304.5334017276764,41.69812989234924,3572256768.0,56,4102.560546875,484940.5
7,1.9637239707946776,33.29326923076923,"tensor(1.5364e-10, device='cuda:0')",1.5227673921585083,48.0,1.5165303380966186,48.05,7.3e-05,8,346.54446053504944,41.86923956871033,4079714304.0,64,4102.609375,484925.375
8,1.9601849353790284,38.34134615384615,"tensor(1.6088e-10, device='cuda:0')",1.4915622446060182,50.2,1.48774759349823,49.46,8.2e-05,8,388.7112121582031,42.02315378189087,4587171840.0,72,4102.65576171875,484909.1875
9,1.9579519229888915,38.58173076923077,"tensor(1.6921e-10, device='cuda:0')",1.480263034439087,50.81,1.4704158576965332,50.83,9.1e-05,8,430.8404347896576,41.986948013305664,5094629376.0,80,4102.7333984375,484896.25
10,1.9350944379806518,39.18269230769231,"tensor(1.7839e-10, device='cuda:0')",1.4571530605316163,51.85,1.4497956504821778,52.28,9.97534852915723e-05,8,472.9969971179962,42.01454138755798,5602086912.0,88,4102.85595703125,484891.125
11,1.9260918256759643,45.91346153846154,"tensor(1.6810e-10, device='cuda:0')",1.4013040864944457,53.87,1.3934249937057495,53.67,9.970177445201784e-05,8,515.092054605484,41.952794790267944,6109544448.0,96,4102.931640625,484877.0625
12,1.9037173267364502,36.29807692307692,"tensor(1.6297e-10, device='cuda:0')",1.3520255140304565,55.67,1.3504717050552368,55.32,9.964516155915151e-05,8,557.1659510135651,41.9312698841095,6617001984.0,104,4103.02685546875,484866.0
13,1.8963898551940919,43.02884615384615,"tensor(1.5873e-10, device='cuda:0')",1.3397018823623656,56.21,1.3424172954559326,55.98,9.958365282121497e-05,8,599.2379493713379,41.930272579193115,7124459520.0,112,4103.09912109375,484853.46875
14,1.8806663145065308,37.74038461538461,"tensor(1.5398e-10, device='cuda:0')",1.3135363668441773,56.5,1.3078600898742676,57.18,9.951725498333448e-05,8,641.3166837692261,41.937034130096436,7631917056.0,120,4103.18994140625,484845.53125
15,1.8669899137496948,40.86538461538461,"tensor(1.4941e-10, device='cuda:0')",1.2925684825897217,57.64,1.2924660684585572,57.58,9.94459753267812e-05,8,683.3172314167023,41.85849356651306,8139374592.0,128,4103.2744140625,484837.09375
16,1.8635678302764893,40.26442307692308,"tensor(1.4404e-10, device='cuda:0')",1.2638456119537353,59.24,1.2645709205627442,59.08,9.936982166817273e-05,8,725.4037890434265,41.94518303871155,8646832128.0,136,4103.3349609375,484828.0
17,1.845968829536438,45.67307692307692,"tensor(1.3970e-10, device='cuda:0')",1.2114851932525634,61.17,1.2071364482879638,61.0,9.928880235861588e-05,8,767.5157539844513,41.96909475326538,9154289664.0,144,4103.46826171875,484823.34375
18,1.8357765579223633,44.35096153846154,"tensor(1.3882e-10, device='cuda:0')",1.2236265420913697,60.49,1.2272659519195557,60.19,9.9202926282791e-05,8,809.5967257022858,41.93817496299744,9661747200.0,152,4103.5634765625,484814.9375
19,1.8391487855911255,45.55288461538461,"tensor(1.3345e-10, device='cuda:0')",1.1758828063964843,62.78,1.1789339445114135,63.22,9.911220285797748e-05,8,851.6498990058899,41.898242712020874,10169204736.0,160,4103.55517578125,484799.21875
20,1.8126894651412964,53.125,"tensor(1.3350e-10, device='cuda:0')",1.1657106981277465,62.23,1.1643768335342408,62.29,9.901664203302126e-05,8,893.6750869750977,41.881311893463135,10676662272.0,168,4103.65478515625,484795.125
21,1.8144076782226561,47.47596153846154,"tensor(1.3189e-10, device='cuda:0')",1.1618079014778138,64.05,1.1607418431282044,64.17,9.891625428724365e-05,8,935.8187110424042,41.99841547012329,11184119808.0,176,4103.72314453125,484790.15625
22,1.8027589157104493,51.80288461538461,"tensor(1.2920e-10, device='cuda:0')",1.1113038612365722,64.21,1.1128325805664063,64.58,9.881105062929222e-05,8,977.9126679897308,41.93247652053833,11691577344.0,184,4103.85400390625,484791.71875
23,1.7978910190582276,42.66826923076923,"tensor(1.2736e-10, device='cuda:0')",1.0993122344970703,65.04,1.0997158502578734,65.19,9.870104259593363e-05,8,1019.975129365921,41.92153072357178,12199034880.0,192,4103.9619140625,484786.625
24,1.8047489294052124,45.07211538461539,"tensor(1.2477e-10, device='cuda:0')",1.0881350843429565,65.38,1.0919289559364318,65.87,9.858624225078841e-05,8,1061.9905393123627,41.87360858917236,12706492416.0,200,4104.00927734375,484776.1875
25,1.7844140907287598,44.11057692307692,"tensor(1.2530e-10, device='cuda:0')",1.0713102277755737,66.01,1.073796657562256,66.37,9.846666218300807e-05,8,1104.0092375278473,41.84851408004761,13213949952.0,208,4104.126953125,484776.25
26,1.7728941799163818,51.92307692307692,"tensor(1.2322e-10, device='cuda:0')",1.080053828048706,66.72,1.0848170661926269,66.18,9.834231550589462e-05,8,1146.1541686058044,41.93348693847656,13721407488.0,216,4104.25830078125,484781.03125
27,1.7600521713256836,45.3125,"tensor(1.2019e-10, device='cuda:0')",1.0488262387275695,67.07,1.0535788242340087,67.27,9.821321585546244e-05,8,1188.2301115989685,41.93247699737549,14228865024.0,224,4104.3798828125,484784.8125
28,1.7558715398788451,50.24038461538461,"tensor(1.2004e-10, device='cuda:0')",1.0375185465812684,67.61,1.0360490036010743,67.8,9.807937738894302e-05,8,1230.3377134799957,41.96386694908142,14736322560.0,232,4104.5263671875,484789.5625
29,1.750365200996399,54.92788461538461,"tensor(1.1828e-10, device='cuda:0')",1.0284767046928405,68.7,1.0285536476135253,68.56,9.794081478323246e-05,8,1272.4094424247742,41.92882466316223,15243780096.0,240,4104.61962890625,484791.5625
30,1.762307852935791,53.48557692307692,"tensor(1.1556e-10, device='cuda:0')",1.0090300859451293,68.5,1.0143234797477723,69.09,9.779754323328192e-05,8,1314.4078197479248,41.85579180717468,15751237632.0,248,4104.673828125,484785.78125
31,1.7462407230377197,47.83653846153846,"tensor(1.1626e-10, device='cuda:0')",0.9977742628097535,69.35,1.004413519001007,69.38,9.764957845043137e-05,8,1356.5361788272858,41.98604083061218,16258695168.0,256,4104.7734375,484786.65625
32,1.7420643466949464,49.15865384615385,"tensor(1.1638e-10, device='cuda:0')",0.9794169111251831,70.27,0.9803926977157593,70.1,9.749693666068666e-05,8,1398.6316480636597,41.951817989349365,16766152704.0,264,4104.87548828125,484788.5
33,1.74759162940979,51.68269230769231,"tensor(1.1332e-10, device='cuda:0')",0.9733168386459351,70.84,0.9759856431007385,70.61,9.733963460294015e-05,8,1440.7288904190063,41.95511269569397,17273610240.0,272,4104.9443359375,484787.34375
34,1.727410447692871,48.31730769230769,"tensor(1.1311e-10, device='cuda:0')",0.9599327731132508,70.7,0.9604042509078979,70.56,9.717768952713513e-05,8,1482.7521884441376,41.87969970703125,17781067776.0,280,4105.03271484375,484785.53125
35,1.7084313285827637,55.88942307692308,"tensor(1.1255e-10, device='cuda:0')",0.9507654343605042,70.95,0.9491280399322509,71.1,9.701111919237408e-05,8,1524.8629112243652,41.96798658370972,18288525312.0,288,4105.17041015625,484788.03125
36,1.7133545028686523,56.37019230769231,"tensor(1.1220e-10, device='cuda:0')",0.9432248943328857,72.26,0.944026141834259,72.08,9.683994186497131e-05,8,1566.8166556358337,41.81066417694092,18795982848.0,296,4105.25927734375,484787.03125
37,1.7170842847824097,49.63942307692308,"tensor(1.1074e-10, device='cuda:0')",0.9637511370658874,71.22,0.9631663572311402,71.67,9.666417631644977e-05,8,1608.6303396224976,41.670799016952515,19303440384.0,304,4105.34619140625,484787.65625
38,1.711458941268921,48.55769230769231,"tensor(1.1003e-10, device='cuda:0')",0.9075089045524597,72.47,0.9086084341049194,72.75,9.648384182148252e-05,8,1650.4931445121765,41.72061777114868,19810897920.0,312,4105.404296875,484781.0
39,1.699178092956543,55.04807692307692,"tensor(1.0900e-10, device='cuda:0')",0.9031546807289124,72.53,0.8990475662231445,72.95,9.629895815577916e-05,8,1692.2603743076324,41.623430490493774,20318355456.0,320,4105.52587890625,484781.96875
40,1.7019394361495972,55.76923076923077,"tensor(1.0709e-10, device='cuda:0')",0.8884582391738891,72.95,0.8956685393333436,72.76,9.610954559391703e-05,8,1734.094102859497,41.62360429763794,20825812992.0,328,4105.6298828125,484782.75
41,1.6993291706085205,57.09134615384615,"tensor(1.0624e-10, device='cuda:0')",0.9176588921546937,73.4,0.919698665714264,73.15,9.59156249071181e-05,8,1776.206928730011,41.97183680534363,21333270528.0,336,4105.68408203125,484777.65625
42,1.7018389568328858,51.32211538461539,"tensor(1.0631e-10, device='cuda:0')",0.9059094968795777,74.34,0.9039857219696045,74.05,9.571721736097089e-05,8,1818.313592672348,41.93956422805786,21840728064.0,344,4105.71337890625,484768.21875
43,1.6831755701065063,51.44230769230769,"tensor(1.0557e-10, device='cuda:0')",0.9022591225624085,73.43,0.9007601558685303,73.84,9.551434471309872e-05,8,1860.4241983890533,41.96873474121094,22348185600.0,352,4105.77685546875,484762.78125
44,1.678746001625061,60.09615384615385,"tensor(1.0519e-10, device='cuda:0')",0.8606282076835632,74.77,0.8606417254447937,74.54,9.530702921077358e-05,8,1902.4346721172333,41.83917212486267,22855643136.0,360,4105.86279296875,484760.21875
45,1.6840423574447632,59.97596153846154,"tensor(1.0549e-10, device='cuda:0')",0.884310826587677,74.0,0.8853883131980896,73.9,9.509529358847655e-05,8,1944.501711845398,41.922945499420166,23363100672.0,368,4105.931640625,484752.9375
46,1.673541097831726,52.40384615384615,"tensor(1.0447e-10, device='cuda:0')",0.8631967858314514,75.25,0.870527412700653,74.34,9.487916106540466e-05,8,1986.6199169158936,41.97598624229431,23870558208.0,376,4106.033203125,484756.3125
