epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,2.2059057558697104,2.038392444610596,25.48,80.27,1e-05
1,2.144445860889596,1.9283702520370483,30.74,84.1,1.9e-05
2,2.104677316473938,1.8336402431488037,34.97,86.75,2.8000000000000003e-05
3,2.0749417937214027,1.7823871311187744,36.91,87.66,3.7e-05
4,2.062086870056719,1.7725432329177857,37.75,87.88,4.6e-05
5,2.047042151571999,1.7263509706497193,40.32,89.54,5.5e-05
6,2.0330346485411463,1.687123607444763,42.04,90.4,6.4e-05
7,2.023160169127656,1.6617950956344605,42.58,90.36,7.3e-05
8,2.0141758776810046,1.6557388826370238,43.16,90.26,8.2e-05
9,1.994013480584539,1.6124891750335693,45.45,91.47,9.1e-05
10,1.9945047993055531,1.5848695421218872,46.3,91.45,9.97534852915723e-05
11,1.9836680734966536,1.5714621686935424,46.56,91.94,9.970177445201784e-05
12,1.9779240411924492,1.5505810649871825,47.62,92.09,9.964516155915151e-05
13,1.9683006568388506,1.53163334941864,48.72,92.07,9.958365282121497e-05
14,1.9596764899399155,1.5082938274383544,50.21,93.06,9.951725498333448e-05
15,1.9484768420572318,1.5131368915557861,48.98,92.66,9.94459753267812e-05
16,1.9449636670599826,1.4938728441238402,50.5,93.26,9.936982166817273e-05
17,1.933489656326255,1.4671323930740356,50.28,92.97,9.928880235861588e-05
18,1.9408680130363885,1.4859277868270875,51.02,92.99,9.9202926282791e-05
19,1.9174177063564637,1.4574747423171996,52.23,93.39,9.911220285797748e-05
20,1.9247815105277049,1.4490162078857423,51.35,93.41,9.901664203302126e-05
21,1.9159149059718152,1.4428860427856445,51.82,93.2,9.891625428724365e-05
22,1.9155416951136766,1.429796945953369,53.04,93.75,9.881105062929222e-05
23,1.9116174373370278,1.4097269327163697,53.59,93.75,9.870104259593363e-05
24,1.9094301163005463,1.4134528156280517,53.15,93.65,9.858624225078841e-05
25,1.9072245925703062,1.4050906896591187,54.51,93.98,9.846666218300807e-05
26,1.8946520638069027,1.4022251413345337,53.62,93.63,9.834231550589462e-05
27,1.8961129881508372,1.4039785821914672,54.48,94.11,9.821321585546244e-05
28,1.9011439863454058,1.385222049331665,54.71,94.37,9.807937738894302e-05
29,1.8944306607130394,1.3804807872772218,55.32,94.1,9.794081478323246e-05
30,1.8854180394305768,1.3939561723709106,54.61,93.97,9.779754323328192e-05
31,1.887122577650141,1.3779970027923585,55.06,94.14,9.764957845043137e-05
32,1.8799582730487427,1.3674879552841186,55.94,94.26,9.749693666068666e-05
33,1.8726570081161322,1.3573732698440553,55.97,94.27,9.733963460294015e-05
34,1.8820546270179992,1.3501756479263305,56.32,94.34,9.717768952713513e-05
35,1.8735529840679388,1.3530748554229737,55.72,94.1,9.701111919237408e-05
36,1.8722781384037033,1.3374223276138306,56.12,94.71,9.683994186497131e-05
37,1.8697495947421436,1.3299732322692872,56.9,94.74,9.666417631644977e-05
38,1.8771683043310188,1.3373478422164917,55.79,93.98,9.648384182148252e-05
39,1.8672308799704578,1.3314235340118408,57.13,94.94,9.629895815577916e-05
40,1.8584489456059532,1.3092114469528198,57.99,94.77,9.610954559391703e-05
41,1.8679472130178336,1.313636647415161,57.19,94.94,9.59156249071181e-05
42,1.8585787089625028,1.3186830717086793,57.59,94.89,9.571721736097089e-05
43,1.870429840496957,1.3135270217895507,58.34,95.04,9.551434471309872e-05
44,1.8533133559892485,1.3025539566040039,57.92,94.78,9.530702921077358e-05
45,1.8471093035843247,1.3012328033447265,57.69,94.75,9.509529358847655e-05
46,1.8551814733180438,1.295581430053711,58.66,95.13,9.487916106540466e-05
47,1.8505341106126616,1.2815342876434326,58.43,94.92,9.465865534292465e-05
48,1.8575563076668908,1.294763717651367,58.45,95.1,9.443380060197386e-05
49,1.8476927561277616,1.2878509529113769,58.23,94.77,9.420462150040853e-05
50,1.8294698943249241,1.274509479522705,59.77,95.02,9.397114317029974e-05
51,1.8557059905287856,1.2815855556488036,58.62,95.55,9.373339121517747e-05
52,1.8415459820311444,1.2696525442123414,59.62,95.4,9.34913917072228e-05
53,1.8341927331479961,1.261710171508789,59.8,95.42,9.324517118440888e-05
54,1.8437849132108017,1.2658287775039674,58.72,95.32,9.299475664759068e-05
55,1.8364820323130844,1.2699302576065064,58.5,95.11,9.274017555754408e-05
56,1.838138399142462,1.264442360496521,60.24,95.47,9.248145583195448e-05
57,1.844115170870792,1.2636809677124023,59.76,94.91,9.221862584235528e-05
58,1.8453778904623015,1.2663729171752929,59.07,95.65,9.195171441101669e-05
59,1.835005219553558,1.25546492729187,59.62,95.44,9.168075080778494e-05
60,1.838201988521825,1.25622175655365,59.94,95.66,9.140576474687264e-05
61,1.821582463273013,1.2597944799423217,59.47,95.32,9.112678638360016e-05
62,1.8408692441737606,1.2377563152313233,60.72,95.57,9.084384631108883e-05
63,1.8142592036922518,1.2346989616394044,59.91,95.45,9.055697555690607e-05
64,1.8161139021151809,1.2361681476593018,60.24,95.68,9.02662055796628e-05
65,1.822750075067967,1.2327573314666749,60.77,95.66,8.99715682655637e-05
66,1.824671819939656,1.2406367254257202,60.29,95.5,8.967309592491052e-05
67,1.8370248604370294,1.240141296195984,60.44,95.68,8.937082128855891e-05
68,1.8262779883630145,1.2278152935028077,60.8,95.62,8.906477750432904e-05
69,1.8229491806823985,1.2329585107803345,60.67,95.71,8.875499813337069e-05
70,1.8233725206494789,1.2248825201034546,60.87,95.7,8.844151714648276e-05
71,1.8255772960018104,1.2336882478713989,61.17,96.01,8.812436892038805e-05
72,1.8241344120987857,1.2303873071670532,60.35,95.69,8.780358823396352e-05
73,1.8217347423795243,1.2293683862686158,61.14,95.63,8.74792102644263e-05
74,1.83417975826239,1.2271292285919189,61.31,96.03,8.715127058347615e-05
75,1.8111469480048068,1.2165438484191895,60.89,95.6,8.681980515339464e-05
76,1.8282413447559567,1.2301748943328858,61.28,95.52,8.648485032310146e-05
77,1.8208545945517995,1.2170315923690795,61.68,95.83,8.614644282416831e-05
78,1.802424864640767,1.2007990255355836,61.73,96.07,8.5804619766791e-05
79,1.8109166144408886,1.2111723320007324,61.13,95.72,8.545941863571974e-05
80,1.802452954989542,1.2065805629730224,62.19,95.82,8.511087728614862e-05
81,1.818591442364584,1.2121301008224488,62.02,96.01,8.475903393956434e-05
82,1.8119845918442925,1.2077559770584105,61.2,95.84,8.440392717955476e-05
83,1.82061207813429,1.2021594820022583,61.95,95.96,8.404559594757778e-05
84,1.8117460195599995,1.1946282611846923,62.2,96.0,8.368407953869104e-05
85,1.808302924208696,1.1824525951385498,62.35,96.35,8.33194175972427e-05
86,1.811876711405804,1.194116543006897,61.68,95.93,8.295165011252398e-05
87,1.8045303699454334,1.1927406476974487,61.85,95.93,8.258081741438395e-05
88,1.8128448973544582,1.1934308679580687,62.47,96.15,8.220696016880688e-05
89,1.8081578858835903,1.2041845129013062,61.62,95.78,8.183011937345271e-05
90,1.8070575446081223,1.1824302782058715,62.32,95.82,8.14503363531613e-05
