epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1484787377138908,1.8766944274902344,33.46,85.4,1e-05,1,75.46824955940247,75.46824645996094,83486208.0,1,4102.0859375,484986.34375
1,2.0808931433437117,1.7594834342956542,37.51,87.41,1.9e-05,1,142.6639518737793,66.9898910522461,146918400.0,2,4102.00537109375,484953.25
2,2.047389515536085,1.6770281938552856,42.12,90.14,2.8000000000000003e-05,1,209.67211961746216,66.81092381477356,210350592.0,3,4101.7998046875,484896.5
3,2.029171696545678,1.6331258319854736,43.09,90.57,3.7e-05,1,276.5666124820709,66.69444131851196,273782784.0,4,4101.611328125,484837.59375
4,2.0025819707924213,1.5647587392807008,46.46,92.48,4.6e-05,1,343.55906891822815,66.79409599304199,337214976.0,5,4101.28515625,484756.53125
5,1.98247217292517,1.5234533634185792,47.32,92.57,5.5e-05,1,410.75671339035034,66.96839928627014,400647168.0,6,4101.0458984375,484683.875
6,1.955918622993782,1.4920281908035278,50.43,92.83,6.4e-05,1,477.8932857513428,66.93592190742493,464079360.0,7,4100.6416015625,484585.71875
7,1.9533261555257742,1.4157488138198853,52.0,93.59,7.3e-05,1,544.7444937229156,66.64601826667786,527511552.0,8,4100.32568359375,484497.875
8,1.9306046600988978,1.3933426118850707,54.02,94.7,8.2e-05,1,611.3264093399048,66.38289713859558,590943744.0,9,4099.98193359375,484400.625
9,1.9179138479403741,1.3780004041671754,53.8,94.46,9.1e-05,1,678.4226059913635,66.82967948913574,654375936.0,10,4099.763671875,484314.1875
10,1.9074578553857937,1.308431104660034,56.33,94.43,9.97534852915723e-05,1,745.4856266975403,66.86342525482178,717808128.0,11,4099.36767578125,484212.78125
11,1.8865096179837606,1.2633011871337891,57.5,95.58,9.970177445201784e-05,1,812.4275300502777,66.73780584335327,781240320.0,12,4099.2001953125,484133.1875
12,1.8671576923353266,1.2352211999893188,60.14,95.93,9.964516155915151e-05,1,879.3939771652222,66.76814842224121,844672512.0,13,4099.0234375,484056.90625
13,1.8612849794795663,1.2155553800582886,60.37,96.28,9.958365282121497e-05,1,946.4498190879822,66.85570740699768,908104704.0,14,4098.8359375,483978.28125
14,1.8415934055013328,1.191530371284485,61.92,96.09,9.951725498333448e-05,1,1013.5716605186462,66.92529034614563,971536896.0,15,4098.70556640625,483904.25
15,1.8384001615258094,1.1625314477920532,63.24,96.18,9.94459753267812e-05,1,1080.6754326820374,66.90453863143921,1034969088.0,16,4098.52001953125,483830.75
