epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1634414348602293,19.110576923076923,"tensor(2.4930e-11, device='cuda:0')",1.907186339187622,31.14,1.9016357837677003,31.55,1e-05,12,54.27648878097534,54.27648591995239,781240320.0,12,3085.8759765625,365120.3125
1,2.098213060760498,25.240384615384617,"tensor(4.6058e-11, device='cuda:0')",1.814600161933899,36.63,1.8048180517196655,36.54,1.9e-05,12,105.12683606147766,50.620484352111816,1542426624.0,24,3085.890380859375,365103.9375
2,2.069777563858032,27.764423076923077,"tensor(6.2777e-11, device='cuda:0')",1.7277917140960692,39.56,1.720450235748291,39.91,2.8000000000000003e-05,12,155.97686195373535,50.666687965393066,2303612928.0,36,3085.804443359375,365072.25
3,2.043652983665466,29.447115384615383,"tensor(7.7174e-11, device='cuda:0')",1.687860405921936,42.09,1.6765611181259155,42.78,3.7e-05,12,206.85081696510315,50.69276547431946,3064799232.0,48,3085.775146484375,365043.71875
4,2.021316404914856,31.971153846153847,"tensor(8.8411e-11, device='cuda:0')",1.6126221965789795,43.93,1.597345608329773,45.22,4.6e-05,12,257.7325940132141,50.69847750663757,3825985536.0,60,3085.72802734375,365007.71875
5,1.9992985849380494,35.09615384615385,"tensor(1.0089e-10, device='cuda:0')",1.565189450454712,45.39,1.554580210494995,45.86,5.5e-05,12,310.67463874816895,52.76312756538391,4587171840.0,72,3085.7109375,364976.21875
6,1.9905726335525513,34.13461538461539,"tensor(1.0955e-10, device='cuda:0')",1.5532699468612672,47.12,1.5456336853027344,47.37,6.4e-05,12,361.12964725494385,50.27156090736389,5348358144.0,84,3085.544677734375,364926.125
7,1.9714413084030151,32.33173076923077,"tensor(1.2076e-10, device='cuda:0')",1.5032021316528321,48.41,1.492818247795105,49.0,7.3e-05,12,411.60440611839294,50.295573234558105,6109544448.0,96,3085.483642578125,364886.40625
8,1.9620687982559204,38.58173076923077,"tensor(1.2579e-10, device='cuda:0')",1.5233925840377807,47.66,1.515304946899414,48.13,8.2e-05,12,462.02145171165466,50.23607897758484,6870730752.0,108,3085.33740234375,364836.21875
9,1.949177610206604,34.73557692307692,"tensor(1.3161e-10, device='cuda:0')",1.4443408689498902,52.06,1.4406397226333618,52.3,9.1e-05,12,512.5407581329346,50.33913469314575,7631917056.0,120,3085.261474609375,364795.125
10,1.9238663145065307,36.77884615384615,"tensor(1.4108e-10, device='cuda:0')",1.3847535694122315,53.46,1.3863490087509156,52.94,9.989038226169209e-05,12,563.0936884880066,50.370368003845215,8393103360.0,132,3085.22607421875,364756.8125
11,1.9035924575805665,36.89903846153846,"tensor(1.3289e-10, device='cuda:0')",1.3760076593399049,55.96,1.3726187482833863,55.69,9.986737385021142e-05,12,613.7576651573181,50.48614716529846,9154289664.0,144,3085.208251953125,364721.46875
12,1.892528842353821,39.66346153846154,"tensor(1.2652e-10, device='cuda:0')",1.331828401184082,56.68,1.3351011819839478,55.82,9.98421786662277e-05,12,664.3501410484314,50.40747046470642,9915475968.0,156,3085.175537109375,364678.6875
13,1.8920125791549682,44.35096153846154,"tensor(1.2080e-10, device='cuda:0')",1.28483311958313,57.57,1.291433710861206,57.14,9.981479793771867e-05,12,714.8606140613556,50.327441692352295,10676662272.0,168,3085.054931640625,364633.25
14,1.867352354812622,39.30288461538461,"tensor(1.1781e-10, device='cuda:0')",1.2619300323486329,58.06,1.2632000276565551,58.14,9.97852329991824e-05,12,765.3657515048981,50.32520842552185,11437848576.0,180,3085.112548828125,364604.1875
15,1.8547687162399291,43.26923076923077,"tensor(1.1561e-10, device='cuda:0')",1.2499757261276245,59.64,1.2594718767166138,59.15,9.97534852915723e-05,12,815.7769830226898,50.22820472717285,12199034880.0,192,3085.05615234375,364569.625
16,1.850523447036743,41.94711538461539,"tensor(1.1175e-10, device='cuda:0')",1.2415835691452026,60.68,1.2467857807159424,60.07,9.971955636222684e-05,12,866.2840313911438,50.30130314826965,12960221184.0,204,3084.980224609375,364528.96875
17,1.8231122386932372,43.87019230769231,"tensor(1.0987e-10, device='cuda:0')",1.1699755451202392,62.57,1.1777100828170777,62.67,9.968344786479416e-05,12,916.9037580490112,50.43647003173828,13721407488.0,216,3085.0419921875,364505.34375
18,1.8375811271667482,43.02884615384615,"tensor(1.0564e-10, device='cuda:0')",1.1938413032531738,62.12,1.203634412574768,61.84,9.964516155915151e-05,12,967.478935956955,50.39320611953735,14482593792.0,228,3084.956298828125,364465.46875
19,1.8251127981185913,49.27884615384615,"tensor(1.0364e-10, device='cuda:0')",1.1660949940681458,63.73,1.173227433681488,63.45,9.960469931131939e-05,12,1017.9540541172028,50.29506254196167,15243780096.0,240,3084.8330078125,364420.28125
20,1.7871002773284912,48.4375,"tensor(1.0411e-10, device='cuda:0')",1.1249539704322815,64.51,1.1322126655578613,63.84,9.956206309337068e-05,12,1068.5521833896637,50.415467977523804,16004966400.0,252,3084.959716796875,364402.59375
21,1.8062980447769166,45.79326923076923,"tensor(1.0045e-10, device='cuda:0')",1.0933370436668397,64.84,1.098753540992737,64.74,9.951725498333448e-05,12,1119.025681734085,50.28802943229675,16766152704.0,264,3084.889404296875,364364.53125
22,1.806931517791748,43.50961538461539,"tensor(9.7876e-11, device='cuda:0')",1.0881984542846679,65.59,1.1000979988098145,64.71,9.947027716509488e-05,12,1169.381762266159,50.173319816589355,17527339008.0,276,3084.82177734375,364325.09375
23,1.7806548334121703,51.44230769230769,"tensor(9.8736e-11, device='cuda:0')",1.067134285259247,67.11,1.0805303540229798,66.59,9.942113192828447e-05,12,1219.8726015090942,50.3031907081604,18288525312.0,288,3084.8310546875,364297.3125
24,1.7727745391845704,46.63461538461539,"tensor(9.5612e-11, device='cuda:0')",1.063472642993927,67.34,1.0733640264511108,67.28,9.936982166817273e-05,12,1270.4635281562805,50.405811071395874,19049711616.0,300,3084.75634765625,364258.15625
25,1.7488085813522338,49.39903846153846,"tensor(9.5150e-11, device='cuda:0')",1.0190577832221985,67.93,1.028242754459381,67.5,9.931634888554937e-05,12,1320.9881060123444,50.34368920326233,19810897920.0,312,3084.8798828125,364242.71875
26,1.7708602554321289,45.3125,"tensor(9.2417e-11, device='cuda:0')",1.0032905314445495,68.28,1.0051937441825867,68.58,9.926071618660238e-05,12,1371.6626698970795,50.494006872177124,20572084224.0,324,3084.789794921875,364203.875
27,1.7542044227600098,52.16346153846154,"tensor(9.2003e-11, device='cuda:0')",0.9918983869552612,69.36,1.0004859327316284,68.95,9.9202926282791e-05,12,1422.3408734798431,50.49586462974548,21333270528.0,336,3084.760986328125,364172.0625
28,1.7373514320373535,49.39903846153846,"tensor(9.2067e-11, device='cuda:0')",0.9793247768402099,69.04,0.9851208791732788,69.13,9.914298199071362e-05,12,1473.048291683197,50.52655553817749,22094456832.0,348,3084.76123046875,364145.34375
29,1.7384435726165772,53.125,"tensor(9.0298e-11, device='cuda:0')",0.9737537665367126,70.21,0.9797212328910828,70.04,9.908088623197048e-05,12,1523.7532215118408,50.52328968048096,22855643136.0,360,3084.745849609375,364113.46875
30,1.736507159614563,50.60096153846154,"tensor(8.9851e-11, device='cuda:0')",0.9582506803512574,70.53,0.9634065128326416,69.97,9.901664203302126e-05,12,1574.3809430599213,50.44730591773987,23616829440.0,372,3084.67431640625,364079.875
31,1.7483504629135131,52.52403846153846,"tensor(8.7159e-11, device='cuda:0')",0.9320488622665405,71.19,0.9347593358039856,71.19,9.895025252503756e-05,12,1625.0499684810638,50.48744225502014,24378015744.0,384,3084.621826171875,364042.90625
32,1.7146343641281128,61.41826923076923,"tensor(8.7980e-11, device='cuda:0')",0.9395668020248413,71.55,0.9456496565818787,71.02,9.888172094375034e-05,12,1675.704350233078,50.47396397590637,25139202048.0,396,3084.661865234375,364023.71875
33,1.707596259880066,57.45192307692308,"tensor(8.7576e-11, device='cuda:0')",0.9078292126655578,72.77,0.9140921201705933,72.55,9.881105062929222e-05,12,1726.3648035526276,50.48214864730835,25900388352.0,408,3084.659423828125,363995.25
34,1.7112092000961303,55.76923076923077,"tensor(8.6599e-11, device='cuda:0')",0.9149337757110596,71.93,0.9249161103248597,71.61,9.87382450260346e-05,12,1777.0587368011475,50.51370906829834,26661574656.0,420,3084.635498046875,363965.65625
35,1.7145513381958009,51.32211538461539,"tensor(8.5453e-11, device='cuda:0')",0.8926372998237609,73.81,0.9084582605361938,73.31,9.866330768241984e-05,12,1827.7234585285187,50.48523306846619,27422760960.0,432,3084.603759765625,363933.6875
36,1.6912462648391724,55.16826923076923,"tensor(8.5277e-11, device='cuda:0')",0.8864871765136719,73.9,0.8989374370574951,73.12,9.858624225078841e-05,12,1878.3294131755829,50.42601299285889,28183947264.0,444,3084.609619140625,363903.5625
37,1.7081676403045654,54.6875,"tensor(8.3137e-11, device='cuda:0')",0.8786014935493469,73.57,0.8895224605560302,73.08,9.850705248720069e-05,12,1928.942666053772,50.432183265686035,28945133568.0,456,3084.51318359375,363867.03125
38,1.680570041847229,56.61057692307692,"tensor(8.3804e-11, device='cuda:0')",0.8970108077049256,74.03,0.9058362592697143,73.89,9.842574225125402e-05,12,1979.5825035572052,50.46022582054138,29706319872.0,468,3084.46923828125,363838.21875
39,1.6830477836608886,51.92307692307692,"tensor(8.4127e-11, device='cuda:0')",0.8894911814689637,74.09,0.9015932799339295,73.68,9.834231550589462e-05,12,2030.239625453949,50.47669816017151,30467506176.0,480,3084.540283203125,363822.71875
40,1.658754412651062,51.68269230769231,"tensor(8.3254e-11, device='cuda:0')",0.8721700255393982,73.71,0.8791810071945191,73.13,9.825677631722436e-05,12,2081.096649646759,50.67944359779358,31228692480.0,492,3084.65625,363811.46875
41,1.6657448539733886,55.88942307692308,"tensor(8.3007e-11, device='cuda:0')",0.8373232979774475,75.02,0.8500891057014466,74.28,9.816912885430258e-05,12,2131.790421962738,50.51774287223816,31989878784.0,504,3084.68798828125,363794.65625
42,1.6575802364349366,53.24519230769231,"tensor(8.2445e-11, device='cuda:0')",0.8698966740608215,75.37,0.880525874710083,74.17,9.807937738894302e-05,12,2182.300471305847,50.32975482940674,32751065088.0,516,3084.660888671875,363771.34375
43,1.6650606765747071,61.05769230769231,"tensor(8.1700e-11, device='cuda:0')",0.8510032391548157,75.78,0.8531890310287475,75.07,9.798752629550546e-05,12,2232.755529165268,50.275293588638306,33512251392.0,528,3084.687744140625,363748.21875
44,1.64169612865448,59.85576923076923,"tensor(8.1129e-11, device='cuda:0')",0.8149303826332093,76.81,0.8228836503982544,76.25,9.789358005068262e-05,12,2283.189776659012,50.25537085533142,34273437696.0,540,3084.77734375,363738.53125
45,1.6631662982940674,60.33653846153846,"tensor(8.0467e-11, device='cuda:0')",0.8500713740348816,76.11,0.8588403171539306,75.64,9.779754323328192e-05,12,2333.6051218509674,50.217572927474976,35034624000.0,552,3084.796875,363718.25
46,1.6551478017807006,54.32692307692308,"tensor(8.0811e-11, device='cuda:0')",0.8024726103782653,77.27,0.808589790725708,76.88,9.769942052400235e-05,12,2384.0556678771973,50.27224779129028,35795810304.0,564,3084.805908203125,363699.84375
47,1.6383715236663818,58.89423076923077,"tensor(8.0226e-11, device='cuda:0')",0.8081691872596741,76.72,0.8180998447418213,76.07,9.759921670520634e-05,12,2434.5206730365753,50.267287254333496,36556996608.0,576,3084.81201171875,363677.90625
48,1.6413918199539184,59.13461538461539,"tensor(7.9182e-11, device='cuda:0')",0.8008382793426514,77.92,0.8157935264587403,76.38,9.749693666068666e-05,12,2484.9557156562805,50.2510712146759,37318182912.0,588,3084.815185546875,363656.875
