epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.1633384744644166,19.471153846153847,"tensor(2.4943e-11, device='cuda:0')",1.9066379041671753,30.96,1.9011120195388793,31.41,1e-05,12,62.247416734695435,62.24741339683533,781240320.0,12,3085.876953125,365120.6875
1,2.098353637313843,25.60096153846154,"tensor(4.6113e-11, device='cuda:0')",1.815139069366455,36.49,1.805547296333313,36.77,1.9e-05,12,114.23546624183655,51.03788900375366,1542426624.0,24,3085.888916015625,365103.875
2,2.069758285331726,27.64423076923077,"tensor(6.2765e-11, device='cuda:0')",1.7278503252029418,39.86,1.719467279434204,40.1,2.8000000000000003e-05,12,165.29812264442444,50.883864641189575,2303612928.0,36,3085.803955078125,365072.09375
3,2.0438422050476075,29.326923076923077,"tensor(7.7262e-11, device='cuda:0')",1.6882618730545045,42.16,1.677484020614624,42.46,3.7e-05,12,216.43430829048157,50.958568811416626,3064799232.0,48,3085.759033203125,365041.6875
4,2.021371673965454,32.45192307692308,"tensor(8.8445e-11, device='cuda:0')",1.6091562311172485,43.91,1.5943753480911256,44.88,4.6e-05,12,267.6711037158966,51.05755162239075,3825985536.0,60,3085.708984375,365004.65625
5,1.9998350101470947,35.69711538461539,"tensor(1.0094e-10, device='cuda:0')",1.5630548999786378,45.23,1.5512417043685913,45.89,5.5e-05,12,318.8485245704651,51.00253868103027,4587171840.0,72,3085.667724609375,364970.78125
6,1.990643494415283,34.85576923076923,"tensor(1.0962e-10, device='cuda:0')",1.5523791713714599,46.96,1.5480668397903443,47.57,6.4e-05,12,369.98247051239014,50.9625346660614,5348358144.0,84,3085.500732421875,364920.71875
7,1.9711398950576782,32.09134615384615,"tensor(1.2096e-10, device='cuda:0')",1.5012996786117554,48.45,1.4907177415847779,49.19,7.3e-05,12,421.13145565986633,50.97725224494934,6109544448.0,96,3085.439208984375,364881.6875
8,1.9621127601623536,39.0625,"tensor(1.2615e-10, device='cuda:0')",1.5222879579544066,47.93,1.513850666809082,47.81,8.2e-05,12,472.27659487724304,50.94995379447937,6870730752.0,108,3085.297607421875,364831.15625
9,1.9493962196350099,34.73557692307692,"tensor(1.3171e-10, device='cuda:0')",1.4405255023956298,52.09,1.4379641696929932,51.99,9.1e-05,12,523.4076464176178,50.86024808883667,7631917056.0,120,3085.228759765625,364788.875
10,1.9243974658966065,36.65865384615385,"tensor(1.4091e-10, device='cuda:0')",1.384781008720398,53.55,1.3846149429321288,53.6,9.989038226169209e-05,12,574.4690282344818,50.88871121406555,8393103360.0,132,3085.20458984375,364753.21875
11,1.9038655479431152,37.25961538461539,"tensor(1.3301e-10, device='cuda:0')",1.3741683464050294,55.59,1.3692901140213012,55.55,9.986737385021142e-05,12,625.5425624847412,50.9049437046051,9154289664.0,144,3085.1767578125,364715.3125
12,1.892280702972412,39.66346153846154,"tensor(1.2657e-10, device='cuda:0')",1.3338655521392822,56.17,1.3367050725936889,55.61,9.98421786662277e-05,12,676.6818823814392,50.96791911125183,9915475968.0,156,3085.1572265625,364674.59375
13,1.891962790107727,43.87019230769231,"tensor(1.2077e-10, device='cuda:0')",1.2824766832351684,57.66,1.2896000177383422,57.32,9.981479793771867e-05,12,727.826048374176,50.971643924713135,10676662272.0,168,3085.038818359375,364629.59375
14,1.8668447088241578,38.34134615384615,"tensor(1.1784e-10, device='cuda:0')",1.2604907146453856,57.64,1.2636693004608155,58.0,9.97852329991824e-05,12,779.0303499698639,51.031731843948364,11437848576.0,180,3085.086181640625,364600.46875
15,1.8543674810409545,41.70673076923077,"tensor(1.1567e-10, device='cuda:0')",1.246389923286438,60.16,1.2535246786117553,59.57,9.97534852915723e-05,12,830.091954946518,50.88853883743286,12199034880.0,192,3085.022705078125,364566.03125
16,1.8497994939804077,41.94711538461539,"tensor(1.1174e-10, device='cuda:0')",1.2366233728408813,60.45,1.241547802734375,60.01,9.971955636222684e-05,12,881.2208054065704,50.95520758628845,12960221184.0,204,3084.951416015625,364524.0
17,1.8226116399765016,44.47115384615385,"tensor(1.0986e-10, device='cuda:0')",1.165915806865692,62.74,1.1746582397460938,62.5,9.968344786479416e-05,12,932.3368890285492,50.91741895675659,13721407488.0,216,3085.0244140625,364500.84375
18,1.8375919330596924,42.54807692307692,"tensor(1.0587e-10, device='cuda:0')",1.1875813380241393,62.44,1.196869709777832,62.13,9.964516155915151e-05,12,983.4731783866882,50.96354961395264,14482593792.0,228,3084.928955078125,364459.875
19,1.824901439666748,50.0,"tensor(1.0355e-10, device='cuda:0')",1.1626885659217834,63.79,1.170323089504242,63.18,9.960469931131939e-05,12,1034.5977597236633,50.95358061790466,15243780096.0,240,3084.83203125,364418.625
20,1.7880582857131957,47.83653846153846,"tensor(1.0417e-10, device='cuda:0')",1.1227332810401915,64.35,1.129865576171875,63.82,9.956206309337068e-05,12,1085.713583946228,50.94153070449829,16004966400.0,252,3084.942138671875,364399.34375
21,1.8067802545547484,46.39423076923077,"tensor(1.0055e-10, device='cuda:0')",1.0930993579864503,65.23,1.1005176546096802,64.77,9.951725498333448e-05,12,1136.9134967327118,51.02308797836304,16766152704.0,264,3084.890380859375,364362.625
22,1.8057880750656128,42.30769230769231,"tensor(9.7688e-11, device='cuda:0')",1.085984755039215,65.27,1.0989199913024903,64.97,9.947027716509488e-05,12,1188.0167517662048,50.89680600166321,17527339008.0,276,3084.845947265625,364325.3125
23,1.781098486328125,50.84134615384615,"tensor(9.8837e-11, device='cuda:0')",1.0610681716918946,67.23,1.0772304369926453,66.61,9.942113192828447e-05,12,1238.9161205291748,50.7262327671051,18288525312.0,288,3084.84619140625,364296.375
24,1.7725379173278808,46.27403846153846,"tensor(9.5659e-11, device='cuda:0')",1.0654897532463075,67.35,1.07605574798584,67.12,9.936982166817273e-05,12,1289.7904706001282,50.69784736633301,19049711616.0,300,3084.75927734375,364259.78125
25,1.7501302091598512,49.51923076923077,"tensor(9.5268e-11, device='cuda:0')",1.0173772079467773,67.82,1.0260889617919922,67.73,9.931634888554937e-05,12,1340.722680091858,50.76045370101929,19810897920.0,312,3084.856689453125,364243.875
26,1.7703014356613158,44.83173076923077,"tensor(9.2358e-11, device='cuda:0')",1.0034371341705322,68.23,1.0056462711334229,68.46,9.926071618660238e-05,12,1391.8624658584595,50.965740442276,20572084224.0,324,3084.788818359375,364207.625
