epoch,train_loss,eval_loss,eval_top1,eval_top5,test_loss,test_top1,test_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
36,1.7531394048690796,1.0219851097106933,68.61,97.15,1.0211574948310853,68.8,97.13,9.683994186497131e-05,34,1087.0878751277924,28.94018816947937,79817751552.0,1258,8697.525390625,1025933.625
37,1.749954312133789,1.0363646133422852,68.5,96.97,1.0357182556152345,68.88,96.97,9.666417631644977e-05,34,1116.2064497470856,28.88742208480835,81974446080.0,1292,8697.6123046875,1025943.125
38,1.7351828285217286,1.0016387205123902,69.36,97.51,1.0004876361846924,69.41,97.44,9.648384182148252e-05,34,1145.3125927448273,28.897850036621094,84131140608.0,1326,8697.7666015625,1025956.25
39,1.744700432395935,0.9907671724319458,69.12,97.19,0.9902973059654235,69.4,97.33,9.629895815577916e-05,34,1174.4663779735565,28.93997073173523,86287835136.0,1360,8697.896484375,1025968.375
40,1.7261257106781005,0.9823928531646728,69.56,97.16,0.9827523374557495,69.42,97.12,9.610954559391703e-05,34,1203.5276672840118,28.85737705230713,88444529664.0,1394,8698.0634765625,1025983.3125
41,1.7315325788497924,0.9835999327659607,70.1,97.57,0.9834683210372924,70.1,97.4,9.59156249071181e-05,34,1232.616923570633,28.872442483901978,90601224192.0,1428,8698.2001953125,1025996.375
42,1.7292539560317992,0.9848560479164123,70.5,97.56,0.9841749788284302,70.59,97.68,9.571721736097089e-05,34,1261.659256696701,28.838191270828247,92757918720.0,1462,8698.2548828125,1026000.0625
43,1.7220621341705322,0.9614293401718139,70.29,97.75,0.9621800024986267,70.22,97.72,9.551434471309872e-05,34,1290.7837948799133,28.912219047546387,94914613248.0,1496,8698.4189453125,1026017.375
44,1.720028825569153,0.948965583896637,70.84,97.65,0.949238565158844,70.76,97.6,9.530702921077358e-05,34,1319.918512582779,28.859733819961548,97071307776.0,1530,8698.537109375,1026026.5625
45,1.721898246574402,0.9489999175071716,70.79,97.71,0.9487945231437683,70.82,97.62,9.509529358847655e-05,34,1349.0605735778809,28.8701491355896,99228002304.0,1564,8698.671875,1026038.5
46,1.7166026636123657,0.969004977798462,71.5,97.78,0.9702180417060852,71.4,97.7,9.487916106540466e-05,34,1378.1932480335236,28.929224729537964,101384696832.0,1598,8698.7578125,1026045.0625
47,1.6990539312362671,0.9218213856697083,71.84,97.66,0.9238264561653137,71.79,97.59,9.465865534292465e-05,34,1407.329632282257,28.89721655845642,103541391360.0,1632,8698.9150390625,1026058.3125
48,1.7061579803466798,0.9399238791465759,71.85,97.52,0.9392337480545044,71.79,97.42,9.443380060197386e-05,34,1436.4064440727234,28.840712547302246,105698085888.0,1666,8699.0078125,1026069.5625
49,1.7108393217086793,0.9440544188499451,71.85,97.86,0.9454942486763,71.79,97.8,9.420462150040853e-05,34,1465.555587053299,28.936717748641968,107854780416.0,1700,8699.1142578125,1026079.5
50,1.7023018659591675,0.9186047620773315,72.12,97.56,0.9173328283309936,72.03,97.71,9.397114317029974e-05,34,1494.804579257965,29.022058486938477,110011474944.0,1734,8699.2353515625,1026089.5625
51,1.6963947570800781,0.8907228139877319,72.36,97.77,0.8911260757446289,72.29,97.77,9.373339121517747e-05,34,1523.8863399028778,28.864789724349976,112168169472.0,1768,8699.3662109375,1026098.75
52,1.696577677154541,0.9360580236434937,72.64,97.54,0.9366642748832703,72.4,97.36,9.34913917072228e-05,34,1552.9610311985016,28.860315799713135,114324864000.0,1802,8699.4541015625,1026107.125
53,1.697916862487793,0.9011205325126648,72.78,97.72,0.901869947719574,72.87,97.86,9.324517118440888e-05,34,1582.0903866291046,28.910781860351562,116481558528.0,1836,8699.576171875,1026116.9375
54,1.6825329048156739,0.8925597211837769,72.87,97.9,0.8918364926338196,72.8,97.85,9.299475664759068e-05,34,1611.4444999694824,29.105130195617676,118638253056.0,1870,8699.689453125,1026125.5
55,1.6865122184753418,0.8959345566749572,72.93,97.96,0.8941704649925232,73.32,98.01,9.274017555754408e-05,34,1640.7323520183563,29.05240774154663,120794947584.0,1904,8699.7705078125,1026131.6875
56,1.6613688529968262,0.8824952048301696,73.31,97.83,0.8806973869323731,73.54,97.89,9.248145583195448e-05,34,1669.9865248203278,29.04799485206604,122951642112.0,1938,8699.904296875,1026142.75
57,1.6628699005126952,0.873046215057373,74.35,97.82,0.8736828344345092,74.16,98.0,9.221862584235528e-05,34,1699.2758631706238,28.9851496219635,125108336640.0,1972,8700.0419921875,1026156.5
58,1.6757430295944213,0.8851104162216187,73.86,97.81,0.8849242357254028,74.18,97.82,9.195171441101669e-05,34,1728.538741350174,29.056700468063354,127265031168.0,2006,8700.140625,1026164.0
59,1.6898343727111815,0.8841356835365295,74.3,97.94,0.8834351346015931,74.35,98.01,9.168075080778494e-05,34,1757.8380365371704,29.09043598175049,129421725696.0,2040,8700.2158203125,1026168.375
60,1.6787185802459716,0.8713374988555909,74.3,97.81,0.8702281820297241,74.33,97.77,9.140576474687264e-05,34,1787.1403591632843,29.094818592071533,131578420224.0,2074,8700.3271484375,1026180.625
61,1.6660629224777221,0.8669942601203918,74.46,97.87,0.8670907950401306,74.28,97.83,9.112678638360016e-05,34,1816.47811794281,29.128519535064697,133735114752.0,2108,8700.44921875,1026191.375
62,1.6835609981536865,0.866900609588623,74.69,97.95,0.8655440906524658,74.59,98.05,9.084384631108883e-05,34,1845.7368173599243,29.04540228843689,135891809280.0,2142,8700.544921875,1026198.4375
63,1.658819822883606,0.8441799057006836,75.37,98.12,0.8443935267448426,75.43,98.08,9.055697555690607e-05,34,1874.9907054901123,29.049924850463867,138048503808.0,2176,8700.6904296875,1026212.4375
64,1.6545885623931884,0.8583932126045227,75.47,98.04,0.8593630449295044,75.2,97.98,9.02662055796628e-05,34,1904.2839789390564,29.0814106464386,140205198336.0,2210,8700.7919921875,1026220.375
65,1.6805029642105103,0.8887025825500489,74.68,97.81,0.8903614595413208,74.46,97.69,8.99715682655637e-05,34,1933.5174100399017,29.009601354599,142361892864.0,2244,8700.876953125,1026227.875
66,1.6623665988922118,0.8571455746650696,74.56,98.02,0.8565159090995789,74.65,98.06,8.967309592491052e-05,34,1962.8096194267273,29.078190326690674,144518587392.0,2278,8700.9814453125,1026237.5625
67,1.6698780157089232,0.83538349609375,75.03,98.09,0.8367334159851074,75.28,98.0,8.937082128855891e-05,34,1992.151513338089,29.102808237075806,146675281920.0,2312,8701.087890625,1026247.1875
68,1.6596912454605102,0.8435022420883179,76.16,98.13,0.8425343195915223,75.74,97.95,8.906477750432904e-05,34,2021.4059109687805,29.04398798942566,148831976448.0,2346,8701.15625,1026248.4375
69,1.649391551208496,0.8276905229568482,76.28,98.18,0.8288540987014771,76.74,98.28,8.875499813337069e-05,34,2050.7360105514526,29.0377779006958,150988670976.0,2380,8701.2421875,1026255.75
70,1.6655885675430298,0.826215870475769,74.99,98.08,0.8249568427085876,75.07,98.04,8.844151714648276e-05,34,2080.0363779067993,29.06522798538208,153145365504.0,2414,8701.35546875,1026265.3125
71,1.6468081073760987,0.8282089865684509,76.29,98.22,0.8300057795524597,76.38,98.1,8.812436892038805e-05,34,2109.2873401641846,29.038808584213257,155302060032.0,2448,8701.4306640625,1026269.4375
72,1.6486723861694337,0.8349800990104675,76.02,98.21,0.8353811809539795,75.83,98.2,8.780358823396352e-05,34,2138.4060266017914,28.912106037139893,157458754560.0,2482,8701.50390625,1026274.0625
73,1.6518479869842528,0.8355834918022156,75.66,98.22,0.8354209450721741,75.82,98.17,8.74792102644263e-05,34,2167.589015722275,28.97307252883911,159615449088.0,2516,8701.568359375,1026281.625
74,1.6349688714981079,0.8247012846946716,76.5,98.27,0.8232370844841004,76.5,98.26,8.715127058347615e-05,34,2196.824564218521,29.023202419281006,161772143616.0,2550,8701.6875,1026290.6875
75,1.6307203605651857,0.7839798100471497,76.82,98.43,0.7845036716461181,76.88,98.33,8.681980515339464e-05,34,2225.935392141342,28.90120029449463,163928838144.0,2584,8701.783203125,1026296.75
76,1.6413949029922486,0.8040418814659118,77.1,98.43,0.8045292155265809,77.27,98.26,8.648485032310146e-05,34,2255.0389411449432,28.8983895778656,166085532672.0,2618,8701.869140625,1026303.0
77,1.6305203323364257,0.8059372653007507,76.92,98.4,0.8059592264175415,76.93,98.4,8.614644282416831e-05,34,2284.1989827156067,28.944717168807983,168242227200.0,2652,8701.9169921875,1026305.5
78,1.6355685607910155,0.782275979423523,76.91,98.63,0.7831582174301147,77.09,98.52,8.5804619766791e-05,34,2313.3450062274933,28.935418844223022,170398921728.0,2686,8702.041015625,1026315.6875
79,1.6580367078781129,0.7864939403533936,77.43,98.42,0.7862376983642578,77.06,98.38,8.545941863571974e-05,34,2342.6379458904266,29.080500602722168,172555616256.0,2720,8702.1181640625,1026321.5
80,1.6375976430892945,0.7818043236732483,77.43,98.54,0.7812518140792847,77.3,98.59,8.511087728614862e-05,34,2371.904629945755,29.05083203315735,174712310784.0,2754,8702.2314453125,1026330.9375
81,1.6235920282363892,0.7803768301963806,77.56,98.32,0.7799750655174256,77.49,98.46,8.475903393956434e-05,34,2401.2640879154205,29.149476051330566,176869005312.0,2788,8702.3154296875,1026336.125
82,1.6336164373397828,0.7737097056388855,77.6,98.53,0.7736517803192139,77.45,98.31,8.440392717955476e-05,34,2430.6605117321014,29.08324933052063,179025699840.0,2822,8702.4033203125,1026344.0625
83,1.6126558763504029,0.7705346146583557,77.96,98.56,0.7710183771133423,78.06,98.46,8.404559594757778e-05,34,2459.973775625229,29.10720944404602,181182394368.0,2856,8702.5107421875,1026351.75
84,1.6331256633758544,0.7755565331459046,78.0,98.63,0.7743346622467041,77.88,98.66,8.368407953869104e-05,34,2489.280684232712,29.0919029712677,183339088896.0,2890,8702.5703125,1026358.1875
85,1.608465008354187,0.7663563879013061,77.98,98.45,0.7655991839408874,77.95,98.44,8.33194175972427e-05,34,2518.568340063095,29.055100679397583,185495783424.0,2924,8702.68359375,1026365.375
86,1.621893569755554,0.7795741195678711,78.0,98.48,0.777685923576355,78.07,98.47,8.295165011252398e-05,34,2547.889451265335,29.106918334960938,187652477952.0,2958,8702.7265625,1026366.375
87,1.6106084096908568,0.7672717337608337,78.62,98.57,0.7669404998779297,78.09,98.56,8.258081741438395e-05,34,2577.160927772522,29.06141757965088,189809172480.0,2992,8702.8291015625,1026371.3125
88,1.607599487876892,0.7607572457313537,78.75,98.64,0.7592514039993287,78.7,98.68,8.220696016880688e-05,34,2606.4688913822174,29.093721389770508,191965867008.0,3026,8702.9140625,1026374.5
89,1.628084076690674,0.753581191444397,78.65,98.68,0.7548679727554322,78.63,98.66,8.183011937345271e-05,34,2635.744411945343,29.04615879058838,194122561536.0,3060,8702.9833984375,1026378.9375
90,1.6237959463119507,0.729588754940033,79.0,98.58,0.7302657921791077,79.27,98.6,8.14503363531613e-05,34,2664.9817168712616,29.026994943618774,196279256064.0,3094,8703.048828125,1026380.375
91,1.6064065912246703,0.7438710704803467,78.83,98.51,0.7446138696670532,78.93,98.49,8.106765275542055e-05,34,2694.29510641098,29.072495222091675,198435950592.0,3128,8703.1201171875,1026384.375
92,1.5954906331062317,0.7398240766525268,78.61,98.3,0.7392553791046143,78.83,98.41,8.068211054579944e-05,34,2723.578348636627,29.073187589645386,200592645120.0,3162,8703.193359375,1026389.25
93,1.617631668663025,0.7631537590026856,78.88,98.67,0.7623939842224121,78.96,98.68,8.029375200334589e-05,34,2752.6793615818024,28.88388228416443,202749339648.0,3196,8703.2607421875,1026394.25
94,1.5989741552352905,0.7423234901428223,79.15,98.54,0.7423227467536926,79.25,98.59,7.99026197159505e-05,34,2781.760727405548,28.87062358856201,204906034176.0,3230,8703.373046875,1026403.375
95,1.5954394000053407,0.7367608490943909,79.39,98.5,0.736272029018402,79.17,98.67,7.950875657567621e-05,34,2810.9490175247192,28.90673804283142,207062728704.0,3264,8703.4619140625,1026409.9375
96,1.6246270708084107,0.7686072958946228,79.02,98.44,0.7696562503814697,78.95,98.49,7.911220577405484e-05,34,2840.0319232940674,28.84740900993347,209219423232.0,3298,8703.5263671875,1026412.6875
97,1.5906056804656983,0.7210574283599853,79.62,98.59,0.7214108155250549,79.46,98.61,7.87130107973505e-05,34,2869.2151203155518,28.97199296951294,211376117760.0,3332,8703.625,1026419.375
98,1.6044800123214722,0.7259967076301574,79.4,98.55,0.7243239666938782,79.4,98.69,7.831121542179087e-05,34,2898.515387773514,29.084984302520752,213532812288.0,3366,8703.6953125,1026422.375
99,1.6244988204956055,0.7488309656143188,79.73,98.58,0.7482690224647522,79.51,98.65,7.790686370876671e-05,34,2927.768921136856,29.04105830192566,215689506816.0,3400,8703.7236328125,1026422.6875
100,1.602397119998932,0.7377306264877319,79.9,98.47,0.7388419170379639,79.89,98.44,7.75e-05,34,2957.044960975647,29.044007539749146,217846201344.0,3434,8703.8125,1026428.625
101,1.587307215499878,0.729572863483429,79.05,98.49,0.7295680137634277,78.93,98.42,7.709066891268134e-05,34,2986.4079191684723,29.13014507293701,220002895872.0,3468,8703.88671875,1026432.5
102,1.5933129308700562,0.7326214816093445,79.61,98.51,0.732135673046112,79.49,98.62,7.667891533457719e-05,34,3015.742627620697,29.121047496795654,222159590400.0,3502,8703.9541015625,1026434.3125
103,1.5688547298431397,0.7227836873054504,80.19,98.65,0.7236730756759644,80.27,98.66,7.626478441910744e-05,34,3045.0446779727936,29.08946132659912,224316284928.0,3536,8704.0244140625,1026436.9375
104,1.572566441345215,0.7079127814292908,79.35,98.63,0.7067505555152893,79.53,98.63,7.584832158039378e-05,34,3074.335077047348,29.08319091796875,226472979456.0,3570,8704.0771484375,1026436.8125
105,1.5860811414718627,0.7251918972015381,80.09,98.81,0.7271138892173767,79.65,98.77,7.542957248827961e-05,34,3103.626594543457,29.082212448120117,228629673984.0,3604,8704.1162109375,1026434.8125
106,1.609270050430298,0.732036427116394,79.34,98.7,0.7322925367355346,79.53,98.59,7.500858306332174e-05,34,3132.7930250167847,28.94555902481079,230786368512.0,3638,8704.134765625,1026431.5625
107,1.5894091596603395,0.7188233344078064,80.76,98.72,0.7177540327072144,80.45,98.75,7.458539947175475e-05,34,3162.0129628181458,28.92755365371704,232943063040.0,3672,8704.1962890625,1026434.625
108,1.5926759534835815,0.7224577301979065,80.14,98.58,0.7208595168113708,80.17,98.48,7.416006812042828e-05,34,3191.1829974651337,28.892069816589355,235099757568.0,3706,8704.2666015625,1026439.6875
109,1.5813995489120483,0.7016349799156189,80.2,98.8,0.6990928102493286,80.14,98.83,7.373263565171806e-05,34,3220.507690191269,29.092934608459473,237256452096.0,3740,8704.357421875,1026443.5
110,1.6095605041503906,0.7244794539451599,79.75,98.53,0.7230619048118592,79.56,98.75,7.330314893841101e-05,34,3249.774478673935,29.05528450012207,239413146624.0,3774,8704.400390625,1026445.25
111,1.588940553855896,0.7122209822654724,80.56,98.75,0.7099767639160156,80.54,98.74,7.287165507856512e-05,34,3279.0267407894135,29.04432988166809,241569841152.0,3808,8704.455078125,1026445.6875
112,1.581594292449951,0.7101700499534607,80.79,98.58,0.7101870798110962,80.51,98.53,7.243820139034464e-05,34,3308.148751974106,28.91207504272461,243726535680.0,3842,8704.5498046875,1026452.1875
113,1.606725645828247,0.7145908624649048,80.38,98.74,0.7145657217025757,80.45,98.72,7.200283540683103e-05,34,3337.2197563648224,28.860969305038452,245883230208.0,3876,8704.5947265625,1026451.9375
114,1.5762160145759583,0.6804228391647339,81.18,98.76,0.6796448384284973,80.74,98.86,7.156560487081051e-05,34,3366.3755264282227,28.935062885284424,248039924736.0,3910,8704.68359375,1026457.125
115,1.6009300439834595,0.721304874420166,80.79,98.78,0.7206180764198303,80.9,98.8,7.11265577295385e-05,34,3395.490864276886,28.884572744369507,250196619264.0,3944,8704.705078125,1026455.25
116,1.594454041481018,0.7060949911117553,80.6,98.79,0.7043923776626587,80.72,98.73,7.068574212948169e-05,34,3424.5343141555786,28.838059425354004,252353313792.0,3978,8704.7578125,1026458.375
117,1.6027183393478392,0.7231403160095214,80.82,98.67,0.7224240440368652,80.94,98.7,7.024320641103812e-05,34,3453.708866596222,28.964092016220093,254510008320.0,4012,8704.7939453125,1026457.25
118,1.5887878549575805,0.6920086352348328,80.86,98.78,0.6905929224014282,81.19,98.81,6.979899910323626e-05,34,3483.0611453056335,29.071222066879272,256666702848.0,4046,8704.853515625,1026457.625
119,1.5830460451126098,0.6859163057327271,81.27,98.72,0.68734372215271,81.16,98.62,6.935316891841316e-05,34,3512.3240971565247,29.052096366882324,258823397376.0,4080,8704.875,1026454.0
120,1.572164523601532,0.7053630455970764,80.07,98.72,0.7045496417045594,80.13,98.61,6.890576474687264e-05,34,3541.600743293762,29.0678129196167,260980091904.0,4114,8704.9169921875,1026453.125
121,1.574092520904541,0.7002059616088867,81.05,98.75,0.7002684216499329,81.35,98.75,6.845683565152391e-05,34,3570.8296678066254,29.01995825767517,263136786432.0,4148,8704.9951171875,1026454.375
122,1.5752131160736085,0.6907283260345459,81.63,98.87,0.6908592739105225,81.63,98.85,6.800643086250122e-05,34,3600.081144094467,29.040000438690186,265293480960.0,4182,8705.078125,1026460.1875
123,1.5866848118782044,0.7008521349906921,80.84,98.77,0.7001055429458618,80.84,98.79,6.755459977176533e-05,34,3629.3221962451935,29.030195713043213,267450175488.0,4216,8705.1103515625,1026459.0625
124,1.5917224905014038,0.708604882144928,81.51,98.85,0.7073647078514099,81.52,98.89,6.710139192768697e-05,34,3658.5881600379944,29.049741506576538,269606870016.0,4250,8705.14453125,1026457.0625
125,1.565909080505371,0.6729590846061706,81.22,98.73,0.6743727549552917,81.54,98.7,6.664685702961345e-05,34,3687.776169538498,28.97363018989563,271763564544.0,4284,8705.23828125,1026463.8125
126,1.5617397239685058,0.6991051816940308,81.27,98.83,0.699036973285675,81.31,98.76,6.619104492241846e-05,34,3716.9018154144287,28.91322112083435,273920259072.0,4318,8705.283203125,1026461.375
127,1.5691484000205993,0.6962717842102051,81.26,98.78,0.6942870385169982,81.5,98.72,6.573400559103614e-05,34,3746.1915805339813,29.07452154159546,276076953600.0,4352,8705.3291015625,1026460.625
128,1.5545168392181397,0.6715444662094117,82.16,98.89,0.6721115022659302,82.22,98.86,6.527578915497952e-05,34,3775.4475905895233,29.04176926612854,278233648128.0,4386,8705.384765625,1026460.8125
129,1.5631664573669433,0.6757090382575989,81.61,98.83,0.674577906703949,81.85,98.84,6.481644586284443e-05,34,3804.672618627548,29.01239252090454,280390342656.0,4420,8705.4140625,1026457.1875
130,1.5933253988265992,0.7017266098022461,81.15,98.79,0.7030641634941102,81.12,98.74,6.435602608679918e-05,34,3833.895682811737,29.008384704589844,282547037184.0,4454,8705.4296875,1026452.3125
131,1.5819050915718078,0.6836708086013794,81.92,98.68,0.6828202275276184,81.8,98.74,6.389458031706068e-05,34,3863.234385728836,29.055253505706787,284703731712.0,4488,8705.4609375,1026451.5625
132,1.5542066747665406,0.665575532913208,82.01,98.94,0.6650623764038086,82.12,98.88,6.343215915635762e-05,34,3892.513787508011,29.04399847984314,286860426240.0,4522,8705.5078125,1026451.6875
133,1.555550619316101,0.6665810997962952,81.7,98.92,0.6645218181610107,81.91,98.93,6.296881331438125e-05,34,3921.7981610298157,29.039405345916748,289017120768.0,4556,8705.5390625,1026447.75
134,1.561265772151947,0.6713791540145874,81.76,98.85,0.6714277695655823,81.98,98.83,6.250459360222461e-05,34,3951.0398252010345,29.034316301345825,291173815296.0,4590,8705.6015625,1026448.9375
135,1.573022012424469,0.6708045514106751,82.03,98.86,0.6702131442070007,82.15,98.84,6.20395509268104e-05,34,3980.310162782669,29.062631368637085,293330509824.0,4624,8705.6298828125,1026446.375
136,1.5506952722549439,0.6864214089393615,81.37,98.85,0.6866241619110107,81.21,98.85,6.157373628530854e-05,34,4009.5771429538727,29.055792808532715,295487204352.0,4658,8705.6875,1026446.625
137,1.5499219465255738,0.6659880919456482,82.25,98.82,0.6656235614776611,82.22,98.89,6.110720075954371e-05,34,4038.8752369880676,29.047285795211792,297643898880.0,4692,8705.7421875,1026447.0
138,1.5630976217269898,0.6773723096847534,81.88,98.92,0.6771287622451783,82.17,98.89,6.06399955103937e-05,34,4068.1888291835785,29.066904544830322,299800593408.0,4726,8705.77734375,1026442.5625
139,1.5507818738937378,0.6750754061698914,82.09,98.9,0.6748541466712952,82.03,98.88,6.0172171772179006e-05,34,4097.510615348816,29.102538347244263,301957287936.0,4760,8705.8125,1026440.6875
140,1.5555379452705382,0.6696912385940552,82.52,98.85,0.6697865511894227,82.67,98.87,5.970378084704442e-05,34,4126.770391702652,29.05237078666687,304113982464.0,4794,8705.84375,1026439.6875
141,1.562940778541565,0.674890750694275,82.14,98.76,0.6736928065299987,82.14,98.74,5.923487409933316e-05,34,4156.081455230713,29.007631540298462,306270676992.0,4828,8705.8662109375,1026436.75
