epoch,train_loss,train_acc1,eval_loss,eval_top1,eval_top5,test_loss,test_top1,test_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
25,1.9251442277908326,0,1.4530650737762452,51.93,93.08,1.448628214454651,52.33,93.45,9.846666218300807e-05,1,573.9842071533203,21.592092990875244,1669291008.0,26,287.0545959472656,35418.44921875
26,1.9095612758636475,0,1.4431861225128173,51.57,92.74,1.4366613973617555,52.71,93.38,9.834231550589462e-05,1,595.6566421985626,21.602080821990967,1732723200.0,27,287.2069091796875,35437.4375
27,1.9118753263473511,0,1.4402054428100586,52.52,93.08,1.4334652795791627,52.88,93.25,9.821321585546244e-05,1,617.3595552444458,21.67629337310791,1796155392.0,28,287.3301696777344,35453.96875
28,1.906422159576416,0,1.4263751356124879,52.18,93.55,1.418062197303772,53.28,93.98,9.807937738894302e-05,1,639.0431263446808,21.631494760513306,1859587584.0,29,287.46258544921875,35469.734375
29,1.9036437152862549,0,1.4073452039718628,53.44,93.36,1.4024715312957763,54.25,93.81,9.794081478323246e-05,1,660.7280471324921,21.633873462677002,1923019776.0,30,287.6088562011719,35488.73828125
30,1.906943711090088,0,1.401428338432312,54.39,93.79,1.3958441034317017,55.07,93.87,9.779754323328192e-05,1,682.4041850566864,21.65026068687439,1986451968.0,31,287.7216491699219,35503.3671875
31,1.9037038974761964,0,1.404528956604004,53.23,93.57,1.4023586227416993,53.36,93.92,9.764957845043137e-05,1,704.0723991394043,21.643327951431274,2049884160.0,32,287.8445739746094,35518.9296875
32,1.8997722854614258,0,1.4115546976089477,53.22,93.65,1.4063469114303588,53.81,93.81,9.749693666068666e-05,1,725.7505443096161,21.6251802444458,2113316352.0,33,287.94708251953125,35531.80078125
33,1.8889706676483153,0,1.3913848350524902,54.14,93.84,1.3862112024307252,54.59,94.04,9.733963460294015e-05,1,747.366548538208,21.5443172454834,2176748544.0,34,288.0968322753906,35550.01171875
34,1.8866886461257935,0,1.4113219799041747,53.08,93.62,1.4086367341995238,53.45,93.98,9.717768952713513e-05,1,768.9203190803528,21.53016972541809,2240180736.0,35,288.1960144042969,35561.82421875
35,1.8997963163375855,0,1.3878370752334594,55.03,93.67,1.381827515411377,55.18,94.14,9.701111919237408e-05,1,790.4731669425964,21.52823281288147,2303612928.0,36,288.3025207519531,35575.2578125
36,1.8892233810424806,0,1.3846875259399414,54.39,93.69,1.3823293163299561,54.97,93.82,9.683994186497131e-05,1,812.0119004249573,21.512542963027954,2367045120.0,37,288.42279052734375,35589.76171875
37,1.8839932132720947,0,1.368334453201294,54.72,93.9,1.361844402694702,55.73,94.48,9.666417631644977e-05,1,833.5562274456024,21.520455837249756,2430477312.0,38,288.5672607421875,35605.51953125
38,1.8886175880432128,0,1.3746785293579102,54.66,94.02,1.3668380769729613,55.01,94.54,9.648384182148252e-05,1,855.122864484787,21.542182683944702,2493909504.0,39,288.6553649902344,35616.5703125
39,1.8847312290191651,0,1.3622239322662353,55.2,94.43,1.3551243263244628,55.94,94.69,9.629895815577916e-05,1,876.7207102775574,21.573320627212524,2557341696.0,40,288.7721862792969,35629.5
40,1.8791727821350097,0,1.3616688816070557,54.68,94.05,1.358217964363098,55.7,94.27,9.610954559391703e-05,1,898.3609166145325,21.615641593933105,2620773888.0,41,288.8872375488281,35643.8984375
41,1.87110908203125,0,1.3456415096282959,55.74,94.34,1.3410757831573485,56.99,94.58,9.59156249071181e-05,1,920.021048784256,21.63639521598816,2684206080.0,42,289.0294494628906,35660.51171875
42,1.876465184211731,0,1.3666924013137818,54.98,94.24,1.3601061178207396,55.6,94.23,9.571721736097089e-05,1,941.659099817276,21.612799882888794,2747638272.0,43,289.12652587890625,35672.1796875
43,1.8740268087387084,0,1.3530805015563965,55.29,93.72,1.345733861541748,55.96,94.04,9.551434471309872e-05,1,963.2114913463593,21.528675079345703,2811070464.0,44,289.2348937988281,35685.890625
44,1.864387488937378,0,1.345563705444336,56.55,94.31,1.342554638671875,56.72,94.79,9.530702921077358e-05,1,984.7674021720886,21.53075647354126,2874502656.0,45,289.3534851074219,35700.765625
45,1.8622763744354247,0,1.342283962059021,55.61,94.22,1.3392492910385132,56.19,94.43,9.509529358847655e-05,1,1006.3515155315399,21.560261964797974,2937934848.0,46,289.45843505859375,35712.8359375
46,1.8700236080169679,0,1.3389584701538086,55.83,94.67,1.333962654876709,56.51,94.79,9.487916106540466e-05,1,1027.972738981247,21.594902515411377,3001367040.0,47,289.5583190917969,35724.21484375
47,1.8837582345962525,0,1.3333408124923707,56.91,94.44,1.3297244630813598,57.32,94.57,9.465865534292465e-05,1,1049.6728813648224,21.675934314727783,3064799232.0,48,289.64892578125,35734.96875
48,1.8713772947311402,0,1.321429319190979,57.23,94.49,1.3148448135375976,57.81,94.61,9.443380060197386e-05,1,1071.3367128372192,21.637959957122803,3128231424.0,49,289.7739562988281,35750.0
49,1.8653873886108399,0,1.342227540588379,56.58,94.11,1.3373052486419679,56.93,94.34,9.420462150040853e-05,1,1092.9990847110748,21.63820719718933,3191663616.0,50,289.8561706542969,35759.68359375
50,1.8571789264678955,0,1.3195322311401367,56.33,94.44,1.3152635131835937,57.17,94.75,9.397114317029974e-05,1,1114.7169618606567,21.694022178649902,3255095808.0,51,289.9843444824219,35773.921875
51,1.870312896347046,0,1.3176568473815917,56.53,94.61,1.3087381156921387,57.47,94.6,9.373339121517747e-05,1,1136.3651847839355,21.622516870498657,3318528000.0,52,290.07257080078125,35785.39453125
52,1.8533127534866334,0,1.323822963142395,56.26,94.73,1.3239570552825928,56.47,94.72,9.34913917072228e-05,1,1158.0379955768585,21.64787244796753,3381960192.0,53,290.20269775390625,35798.9140625
53,1.8544508813858032,0,1.2974630832672118,57.9,94.98,1.2921282785415649,58.8,95.24,9.324517118440888e-05,1,1179.7077898979187,21.645442724227905,3445392384.0,54,290.3163146972656,35811.53125
54,1.8798802291870118,0,1.3067452671051025,58.3,94.74,1.300645519065857,59.59,95.26,9.299475664759068e-05,1,1201.2731986045837,21.537400484085083,3508824576.0,55,290.3751525878906,35819.1875
55,1.845276162147522,0,1.2998036010742187,58.53,94.59,1.2960941717147827,58.63,94.97,9.274017555754408e-05,1,1222.7816624641418,21.4828622341156,3572256768.0,56,290.5264892578125,35834.5078125
56,1.8448754768371582,0,1.2889087266921997,57.89,94.87,1.2865588500976564,57.88,95.12,9.248145583195448e-05,1,1244.3481736183167,21.54068636894226,3635688960.0,57,290.6514892578125,35849.05859375
57,1.8514953044891358,0,1.292176117706299,57.85,94.42,1.287156245613098,58.57,94.85,9.221862584235528e-05,1,1265.874856710434,21.50155782699585,3699121152.0,58,290.7268371582031,35856.80078125
58,1.852811644935608,0,1.294189792060852,57.95,94.86,1.2858446660995484,59.39,95.17,9.195171441101669e-05,1,1287.4059419631958,21.505751848220825,3762553344.0,59,290.8434753417969,35869.91796875
59,1.8443710689544677,0,1.2841663452148437,58.51,94.83,1.2810627174377442,59.24,95.27,9.168075080778494e-05,1,1309.017030954361,21.58647394180298,3825985536.0,60,290.9598083496094,35884.67578125
60,1.8546395280838013,0,1.2966344682693483,57.41,94.71,1.2910331130981445,57.98,94.71,9.140576474687264e-05,1,1330.663149356842,21.621047258377075,3889417728.0,61,291.0597839355469,35896.31640625
61,1.8488790660858154,0,1.2760205741882324,58.8,95.11,1.2684637613296508,59.75,95.39,9.112678638360016e-05,1,1352.2530522346497,21.56471538543701,3952849920.0,62,291.15777587890625,35906.61328125
62,1.8399273105621339,0,1.2966735507965088,57.49,94.98,1.2925376127243042,58.46,95.09,9.084384631108883e-05,1,1373.7739088535309,21.495124101638794,4016282112.0,63,291.26348876953125,35918.98046875
63,1.8302701141357423,0,1.2762346635818482,59.04,95.12,1.2714431301116944,59.93,95.34,9.055697555690607e-05,1,1395.3347494602203,21.535220861434937,4079714304.0,64,291.3772888183594,35931.15234375
64,1.8454799030303954,0,1.276342119026184,58.17,94.95,1.2696693811416626,59.28,95.36,9.02662055796628e-05,1,1416.8833281993866,21.522724866867065,4143146496.0,65,291.4810791015625,35944.390625
65,1.8358603763580321,0,1.2627804626464845,59.07,94.9,1.2594126081466674,59.48,95.35,8.99715682655637e-05,1,1438.4275069236755,21.520036697387695,4206578688.0,66,291.59783935546875,35957.27734375
66,1.8343444709777832,0,1.27329606590271,58.87,94.9,1.2686508413314819,59.26,95.37,8.967309592491052e-05,1,1459.9494202136993,21.49690580368042,4270010880.0,67,291.7074279785156,35967.7421875
67,1.8395535293579102,0,1.2649125444412233,59.24,95.26,1.2628485855102538,59.54,95.5,8.937082128855891e-05,1,1481.5193846225739,21.54569911956787,4333443072.0,68,291.8040466308594,35977.63671875
68,1.8334959623336793,0,1.2648150131225586,58.8,94.99,1.2552869731903076,59.64,95.48,8.906477750432904e-05,1,1503.107486486435,21.56143045425415,4396875264.0,69,291.9335021972656,35991.91015625
69,1.8384573514938354,0,1.256251947402954,59.41,95.17,1.249977855491638,59.93,95.69,8.875499813337069e-05,1,1524.718139410019,21.586962699890137,4460307456.0,70,292.03485107421875,36001.65625
70,1.831370468521118,0,1.2720762529373169,58.98,95.23,1.2658493326187135,59.91,95.57,8.844151714648276e-05,1,1546.3425068855286,21.599191904067993,4523739648.0,71,292.1288146972656,36011.10546875
71,1.842985901260376,0,1.269692746925354,58.5,95.03,1.2627357805252075,59.49,95.46,8.812436892038805e-05,1,1567.9248616695404,21.556851148605347,4587171840.0,72,292.206298828125,36019.43359375
72,1.8432987812042236,0,1.2507567325592042,59.88,95.34,1.2446128900527955,60.48,95.63,8.780358823396352e-05,1,1589.4718487262726,21.52140522003174,4650604032.0,73,292.3191223144531,36030.75
73,1.8453491123199464,0,1.266500395965576,58.76,95.01,1.2617708572387696,59.66,95.41,8.74792102644263e-05,1,1611.0356163978577,21.538130283355713,4714036224.0,74,292.3837585449219,36037.48046875
74,1.8259624389648437,0,1.262220975112915,59.15,94.94,1.2601065599441528,59.61,95.14,8.715127058347615e-05,1,1632.6859011650085,21.625580072402954,4777468416.0,75,292.50128173828125,36050.6953125
75,1.8251900148391724,0,1.247048473930359,60.02,95.17,1.2417167348861695,60.74,95.6,8.681980515339464e-05,1,1654.2402503490448,21.527369737625122,4840900608.0,76,292.62152099609375,36063.25390625
76,1.8242843656539918,0,1.2428352949142456,59.91,95.26,1.2370789590835571,60.57,95.68,8.648485032310146e-05,1,1675.787353515625,21.521711826324463,4904332800.0,77,292.7257385253906,36073.9140625
77,1.8407199825286866,0,1.2442060764312743,60.29,95.47,1.241523316192627,60.89,95.79,8.614644282416831e-05,1,1697.3180792331696,21.506885290145874,4967764992.0,78,292.8056945800781,36081.234375
78,1.8295632711410523,0,1.2430908542633057,59.57,95.34,1.2392084138870239,60.58,95.64,8.5804619766791e-05,1,1718.8667953014374,21.522169828414917,5031197184.0,79,292.92523193359375,36093.91015625
79,1.810712971687317,0,1.2399590257644653,59.22,95.01,1.2331934581756592,59.95,95.45,8.545941863571974e-05,1,1740.4452457427979,21.555389404296875,5094629376.0,80,293.0611877441406,36109.0078125
80,1.8145553943634034,0,1.2492989810943604,59.74,94.85,1.245528923034668,60.08,94.89,8.511087728614862e-05,1,1761.948701620102,21.478485822677612,5158061568.0,81,293.17266845703125,36121.56640625
81,1.8169865659713744,0,1.241762009048462,59.84,95.02,1.2359225021362306,60.54,95.53,8.475903393956434e-05,1,1783.506413936615,21.53128933906555,5221493760.0,82,293.2676696777344,36130.55859375
82,1.8248896249771118,0,1.2442390050888061,59.83,95.22,1.2414694440841674,60.38,95.66,8.440392717955476e-05,1,1805.0947704315186,21.56399440765381,5284925952.0,83,293.3460998535156,36138.2734375
83,1.8249133838653564,0,1.230144729232788,60.8,95.64,1.22764776096344,61.42,95.88,8.404559594757778e-05,1,1826.611730337143,21.49215269088745,5348358144.0,84,293.4411315917969,36147.89453125
84,1.8319843908309936,0,1.246879822921753,59.99,95.47,1.2414958917617798,60.41,95.52,8.368407953869104e-05,1,1848.2460935115814,21.60806655883789,5411790336.0,85,293.534912109375,36157.91015625
85,1.8174689466476441,0,1.2334795011520385,59.72,95.25,1.2304811861038207,61.12,95.32,8.33194175972427e-05,1,1869.9486665725708,21.67650270462036,5475222528.0,86,293.6402282714844,36169.0625
86,1.8224853694915772,0,1.223198634147644,60.88,95.64,1.2194490280151367,61.46,96.0,8.295165011252398e-05,1,1891.597181558609,21.62346839904785,5538654720.0,87,293.7459716796875,36179.62890625
87,1.8168159610748291,0,1.2320330741882324,59.96,95.31,1.2288957229614257,60.54,95.49,8.258081741438395e-05,1,1913.2150256633759,21.593809843063354,5602086912.0,88,293.85272216796875,36190.3984375
88,1.8209023733139038,0,1.222679506111145,60.36,95.45,1.2181162593841552,61.11,95.97,8.220696016880688e-05,1,1934.8746592998505,21.6341073513031,5665519104.0,89,293.9398498535156,36197.90234375
89,1.8269704381942748,0,1.2382959907531739,60.01,95.1,1.2333946125030517,60.5,95.56,8.183011937345271e-05,1,1956.4437069892883,21.544176816940308,5728951296.0,90,294.0052795410156,36203.30078125
90,1.8181666261672973,0,1.2377513065338135,60.11,95.1,1.2354196533203126,60.55,95.33,8.14503363531613e-05,1,1978.048408985138,21.580352306365967,5792383488.0,91,294.1165771484375,36215.5078125
91,1.816561939048767,0,1.2283176614761353,60.5,95.31,1.22535389251709,60.99,95.81,8.106765275542055e-05,1,1999.7224440574646,21.64879608154297,5855815680.0,92,294.22027587890625,36225.71484375
92,1.8326233463287354,0,1.2383441095352172,60.39,95.45,1.2353585693359375,61.09,95.53,8.068211054579944e-05,1,2021.3859357833862,21.63385844230652,5919247872.0,93,294.2867431640625,36231.96484375
93,1.817743902015686,0,1.2246974130630492,60.45,95.19,1.2209381984710694,60.95,95.71,8.029375200334589e-05,1,2043.3633770942688,21.952047109603882,5982680064.0,94,294.41461181640625,36245.1015625
94,1.8041859226226806,0,1.2197823318481444,61.25,95.46,1.2129639993667602,61.63,95.73,7.99026197159505e-05,1,2065.003904104233,21.615962743759155,6046112256.0,95,294.5249938964844,36256.55078125
95,1.822707619857788,0,1.2079291675567627,61.53,95.83,1.2060217945098877,61.92,96.07,7.950875657567621e-05,1,2086.6337189674377,21.60499930381775,6109544448.0,96,294.60943603515625,36265.1953125
96,1.820993621635437,0,1.2178429737091065,61.17,95.44,1.2144153846740722,61.38,95.8,7.911220577405484e-05,1,2108.3002305030823,21.640366315841675,6172976640.0,97,294.6998291015625,36273.984375
97,1.814307388305664,0,1.216285396194458,60.89,95.27,1.2145856901168823,61.04,95.46,7.87130107973505e-05,1,2129.945003271103,21.619653701782227,6236408832.0,98,294.8038635253906,36284.1015625
98,1.8098505712509154,0,1.2038901605606078,61.95,95.6,1.2033665393829345,62.27,95.99,7.831121542179087e-05,1,2151.5894491672516,21.619033336639404,6299841024.0,99,294.884521484375,36291.65625
99,1.8059572759628295,0,1.20955736618042,60.94,95.34,1.2063055210113525,61.36,95.62,7.790686370876671e-05,1,2173.2186558246613,21.603224754333496,6363273216.0,100,294.98699951171875,36301.43359375
100,1.799929631614685,0,1.2044686092376709,61.38,95.8,1.2020209192276001,61.89,96.01,7.75e-05,1,2194.8838500976562,21.637654542922974,6426705408.0,101,295.0978698730469,36310.77734375
101,1.8134329864501952,0,1.2139489692687988,61.39,95.4,1.2134570543289185,62.03,95.65,7.709066891268134e-05,1,2216.514318227768,21.604426860809326,6490137600.0,102,295.1610412597656,36316.8828125
102,1.8106602214813232,0,1.20567841796875,61.62,95.98,1.2051995155334472,62.39,96.13,7.667891533457719e-05,1,2238.1938197612762,21.65488600730896,6553569792.0,103,295.24493408203125,36324.6640625
103,1.8201722085952758,0,1.2139969917297364,60.98,95.69,1.2079074382781982,62.09,95.93,7.626478441910744e-05,1,2259.847086906433,21.628178358078003,6617001984.0,104,295.3036193847656,36329.87890625
104,1.8194421182632445,0,1.204647354888916,61.58,95.7,1.2015287279129028,62.11,95.9,7.584832158039378e-05,1,2281.4620172977448,21.586337566375732,6680434176.0,105,295.41094970703125,36340.75390625
105,1.8090669738769531,0,1.2101841276168823,61.54,95.55,1.210616163444519,62.06,95.85,7.542957248827961e-05,1,2303.0827775001526,21.58820343017578,6743866368.0,106,295.5011901855469,36348.58984375
106,1.818198934173584,0,1.1985084919929505,61.74,95.85,1.1975390211105346,62.09,95.98,7.500858306332174e-05,1,2324.7157571315765,21.609544277191162,6807298560.0,107,295.57391357421875,36354.76953125
107,1.8092961448669433,0,1.1996794246673583,61.1,95.49,1.19594462890625,61.7,95.83,7.458539947175475e-05,1,2346.497127532959,21.75441074371338,6870730752.0,108,295.63922119140625,36360.125
108,1.81185936126709,0,1.204316135597229,61.93,95.78,1.2069603244781495,62.5,96.06,7.416006812042828e-05,1,2368.1258873939514,21.599931240081787,6934162944.0,109,295.7307434082031,36368.7109375
109,1.8012468383789062,0,1.191611023902893,61.64,95.8,1.193906361579895,61.88,96.01,7.373263565171806e-05,1,2389.7882645130157,21.635717153549194,6997595136.0,110,295.83154296875,36378.30859375
110,1.8102165794372558,0,1.1904641674995422,62.11,95.77,1.1900780637741089,62.53,95.91,7.330314893841101e-05,1,2411.4295752048492,21.61616039276123,7061027328.0,111,295.9207763671875,36385.3515625
111,1.7997525205612184,0,1.1927960086822509,62.08,95.56,1.1902898822784425,62.56,95.91,7.287165507856512e-05,1,2433.076658010483,21.621074199676514,7124459520.0,112,296.01214599609375,36394.62109375
112,1.8114673181533814,0,1.1831808568954467,62.88,96.09,1.1823922868728638,62.97,96.47,7.243820139034464e-05,1,2454.7042729854584,21.60044765472412,7187891712.0,113,296.10382080078125,36403.265625
113,1.8052091005325317,0,1.193939669418335,62.07,95.84,1.193186842918396,62.49,96.2,7.200283540683103e-05,1,2476.351277589798,21.61961603164673,7251323904.0,114,296.1990966796875,36412.95703125
114,1.7949694152832032,0,1.1892278061866761,62.25,95.82,1.1876555461883544,62.68,96.3,7.156560487081051e-05,1,2498.035829305649,21.654006242752075,7314756096.0,115,296.3013000488281,36421.64453125
115,1.7932860683441163,0,1.1826811010360718,61.72,95.84,1.1832145151138305,62.8,96.12,7.11265577295385e-05,1,2519.8756279945374,21.812364101409912,7378188288.0,116,296.37957763671875,36428.34765625
116,1.8118818252563476,0,1.1858291633605957,61.65,95.41,1.1859584280014037,62.27,95.86,7.068574212948169e-05,1,2541.8311014175415,21.931419610977173,7441620480.0,117,296.4387512207031,36433.375
117,1.79907036819458,0,1.1751947666168212,62.05,95.9,1.175797827720642,62.5,95.99,7.024320641103812e-05,1,2563.6919877529144,21.83596658706665,7505052672.0,118,296.5199279785156,36440.875
118,1.7995628353118895,0,1.178771326828003,62.05,95.81,1.180884758758545,62.18,96.1,6.979899910323626e-05,1,2585.602714538574,21.886427640914917,7568484864.0,119,296.5960693359375,36448.1171875
119,1.794960073661804,0,1.1837014707565308,62.15,96.0,1.1806373964309693,63.24,96.11,6.935316891841316e-05,1,2607.5532681941986,21.92712664604187,7631917056.0,120,296.67791748046875,36454.8671875
120,1.7969619485855102,0,1.1872849767684936,62.41,96.08,1.1897431968688965,62.75,96.16,6.890576474687264e-05,1,2629.2151832580566,21.635928630828857,7695349248.0,121,296.7571716308594,36462.17578125
121,1.7869110973358153,0,1.1845925827026367,61.83,95.52,1.1848902490615845,62.09,95.57,6.845683565152391e-05,1,2650.792372226715,21.551549911499023,7758781440.0,122,296.8504638671875,36470.44921875
122,1.7973325691223145,0,1.1805001783370972,62.36,95.7,1.1797568515777588,63.02,96.32,6.800643086250122e-05,1,2672.3341152668,21.490715742111206,7822213632.0,123,296.9188537597656,36476.94921875
123,1.7866956184387206,0,1.176299920272827,62.55,96.0,1.1754119373321532,63.38,96.18,6.755459977176533e-05,1,2693.9291803836823,21.54051184654236,7885645824.0,124,297.0198669433594,36485.53125
124,1.8054711906433105,0,1.1788463941574097,62.9,95.62,1.1783845430374145,63.39,95.97,6.710139192768697e-05,1,2715.5097076892853,21.530587911605835,7949078016.0,125,297.0761413574219,36489.78125
125,1.8009237468719483,0,1.1772370412826538,62.27,95.99,1.1758924543380738,62.82,96.19,6.664685702961345e-05,1,2737.0507938861847,21.512966632843018,8012510208.0,126,297.1603698730469,36497.03515625
126,1.7954282245635986,0,1.174638285446167,62.96,95.97,1.1726078153610229,63.28,96.17,6.619104492241846e-05,1,2758.5786051750183,21.499836444854736,8075942400.0,127,297.2300720214844,36502.84375
127,1.8046374599456787,0,1.1755011587142945,62.77,96.15,1.173354946899414,63.07,96.19,6.573400559103614e-05,1,2780.0999863147736,21.495656967163086,8139374592.0,128,297.3072204589844,36509.75
128,1.7966507097244262,0,1.1730277004241942,62.71,95.92,1.1730211212158204,63.52,96.02,6.527578915497952e-05,1,2801.6846611499786,21.50170111656189,8202806784.0,129,297.3793640136719,36515.7578125
129,1.790218342781067,0,1.1728494940757752,62.41,95.94,1.1711540285110473,63.05,96.37,6.481644586284443e-05,1,2823.2199687957764,21.509090423583984,8266238976.0,130,297.45440673828125,36523.109375
130,1.7816645101547242,0,1.1652861976623534,62.56,96.13,1.1648257230758667,63.22,96.09,6.435602608679918e-05,1,2844.8619751930237,21.6181423664093,8329671168.0,131,297.5391845703125,36530.33984375
131,1.79170550365448,0,1.1769313688278198,62.72,96.03,1.1759383544921875,62.94,95.99,6.389458031706068e-05,1,2866.5777864456177,21.657966136932373,8393103360.0,132,297.5979309082031,36534.29296875
132,1.7923237878799438,0,1.1660279287338258,63.3,96.22,1.1645625644683837,63.92,96.36,6.343215915635762e-05,1,2888.1903162002563,21.587576627731323,8456535552.0,133,297.6684875488281,36540.2265625
133,1.802637854194641,0,1.1786639030456543,62.4,95.92,1.1783338806152344,62.84,96.01,6.296881331438125e-05,1,2909.759588956833,21.544373750686646,8519967744.0,134,297.7303466796875,36545.4921875
134,1.7860779926300048,0,1.1730332359313964,63.02,96.02,1.173454059791565,63.06,95.94,6.250459360222461e-05,1,2931.395523071289,21.607259035110474,8583399936.0,135,297.805908203125,36552.4765625
135,1.7934689741134644,0,1.1655104091644286,63.48,96.05,1.166572563934326,63.47,96.25,6.20395509268104e-05,1,2953.0235006809235,21.602540969848633,8646832128.0,136,297.8851318359375,36558.5546875
136,1.7814988145828248,0,1.1603483691215515,63.04,95.86,1.1584193326950074,63.37,96.2,6.157373628530854e-05,1,2974.5929234027863,21.544382572174072,8710264320.0,137,297.9688415527344,36565.66796875
137,1.806595413017273,0,1.168167995929718,63.37,96.08,1.168614730834961,63.63,96.17,6.110720075954371e-05,1,2996.1173894405365,21.500751495361328,8773696512.0,138,298.0152587890625,36569.625
138,1.790739407348633,0,1.1710885725021363,63.17,96.04,1.1699317758560182,63.71,96.26,6.06399955103937e-05,1,3017.6605558395386,21.51878809928894,8837128704.0,139,298.0989074707031,36576.12109375
