epoch,train_loss,train_acc1,train_avg_grad_norm,eval_loss,eval_top1,test_loss,test_top1,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,4.44496383085814,4.765625,"tensor(5.4383e-11, device='cuda:0')",4.187197124519833,7.248458824365177,4.219663887023926,6.42,1e-05,8,2584.837325334549,2584.8373222351074,1209648427008.0,8,4102.67333984375,484818.875
1,4.363908975328374,6.9921875,"tensor(9.2109e-11, device='cuda:0')",4.041457819411158,9.618041029607937,4.085219400405884,8.56,1.9e-05,8,5248.30783033371,2530.8062393665314,2418314207232.0,16,4102.9755859375,484796.875
2,4.2904281814955825,7.9296875,"tensor(1.1625e-10, device='cuda:0')",3.822024493173845,13.62391367837776,3.8734958801269532,12.28,2.8000000000000003e-05,8,7779.866505861282,2531.362915277481,3626979987456.0,24,4103.34033203125,484751.96875
3,4.198012549078423,9.9609375,"tensor(1.3867e-10, device='cuda:0')",3.6393868167125842,16.65416887022551,3.696630390167236,15.34,3.7e-05,8,10312.158917665482,2532.066563844681,4835645767680.0,32,4103.9169921875,484725.125
4,4.127388928641948,11.6015625,"tensor(1.5763e-10, device='cuda:0')",3.506397001264688,19.577863903018706,3.5703370237350462,17.38,4.6e-05,8,12843.287314891815,2530.93846988678,6044311547904.0,40,4104.08349609375,484630.09375
5,4.072990330303735,13.7109375,"tensor(1.7007e-10, device='cuda:0')",3.3865040861440248,22.349217374868918,3.4530454235076906,20.74,5.5e-05,8,15374.799065828323,2531.321744441986,7252977328128.0,48,4104.474609375,484554.5
6,4.005429331647284,15.9765625,"tensor(1.8145e-10, device='cuda:0')",3.2414410415564925,24.665914167674824,3.3231047229766846,22.34,6.4e-05,8,17905.81336426735,2530.83269906044,8461643108352.0,56,4104.79248046875,484450.3125
7,3.9548375547063963,15.390625,"tensor(1.9063e-10, device='cuda:0')",3.15245859280013,26.875261467094763,3.2497168645858765,23.78,7.3e-05,8,20437.683093070984,2531.58726477623,9670308888576.0,64,4105.1640625,484361.71875
