epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.2126630813598633,2.048879433441162,24.93,79.92,1e-05,1,22.160758018493652,22.160754919052124,83486208.0,1,4102.3681640625,485033.34375
1,2.1493580842971802,1.9523249490737915,29.99,83.82,1.9e-05,1,42.01819205284119,19.750556230545044,146918400.0,2,4102.6552734375,485058.21875
2,2.1034036525726316,1.8513592414855957,34.97,85.77,2.8000000000000003e-05,1,61.85646843910217,19.740907192230225,210350592.0,3,4102.96337890625,485086.9375
3,2.0809599094390867,1.8007128801345824,36.64,87.35,3.7e-05,1,81.64892387390137,19.694206476211548,273782784.0,4,4103.19091796875,485110.5
4,2.0704339742660522,1.774237779045105,37.54,87.84,4.6e-05,1,101.45976734161377,19.712323427200317,337214976.0,5,4103.38232421875,485129.71875
5,2.060343163871765,1.756963666534424,38.85,87.86,5.5e-05,1,121.26954388618469,19.70908284187317,400647168.0,6,4103.59912109375,485154.15625
6,2.0390584815979005,1.7254849597930908,40.33,88.83,6.4e-05,1,141.0477044582367,19.676560640335083,464079360.0,7,4103.84130859375,485179.46875
7,2.027406936836243,1.7029171997070311,41.55,89.61,7.3e-05,1,160.8646218776703,19.70013999938965,527511552.0,8,4104.09521484375,485208.78125
8,2.0313822635650634,1.6936930894851685,41.43,89.37,8.2e-05,1,180.66560220718384,19.695767402648926,590943744.0,9,4104.30029296875,485232.0625
9,2.02207020778656,1.6848141569137574,42.41,88.82,9.1e-05,1,200.4563069343567,19.692243814468384,654375936.0,10,4104.52294921875,485258.375
10,2.0116004108428953,1.640755825805664,44.5,90.76,9.97534852915723e-05,1,220.16413402557373,19.609105587005615,717808128.0,11,4104.73388671875,485284.90625
11,2.000772678947449,1.6303222665786743,44.36,90.41,9.970177445201784e-05,1,239.95774483680725,19.696674346923828,781240320.0,12,4104.9169921875,485307.03125
