epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
0,2.2126771312713625,2.0488941051483156,24.84,79.94,1e-05,1,22.39013171195984,22.390129566192627,83486208.0,1,4102.3681640625,485033.40625
1,2.1493745080947875,1.9520815071105957,30.13,83.64,1.9e-05,1,42.43195366859436,19.932902812957764,146918400.0,2,4102.65576171875,485058.21875
2,2.1034141273498537,1.8517031517028808,34.83,85.81,2.8000000000000003e-05,1,62.46596622467041,19.93115997314453,210350592.0,3,4102.9638671875,485086.875
3,2.080865517616272,1.8007975582122804,36.57,87.28,3.7e-05,1,82.43219947814941,19.861491441726685,273782784.0,4,4103.19091796875,485110.4375
4,2.070452681732178,1.773822458076477,37.53,87.69,4.6e-05,1,102.37957620620728,19.845125913619995,337214976.0,5,4103.3818359375,485129.53125
5,2.06026663646698,1.756624359703064,39.06,87.86,5.5e-05,1,122.34954333305359,19.867177486419678,400647168.0,6,4103.5986328125,485153.875
6,2.0389191753387452,1.7249809343338012,40.11,88.91,6.4e-05,1,142.28713297843933,19.835503578186035,464079360.0,7,4103.84033203125,485179.28125
7,2.0271820922851562,1.7032847692489623,41.39,89.46,7.3e-05,1,162.22388100624084,19.834085941314697,527511552.0,8,4104.09375,485208.53125
8,2.031387020301819,1.6935654726028442,41.72,89.43,8.2e-05,1,182.192289352417,19.86625075340271,590943744.0,9,4104.2958984375,485231.46875
9,2.022301619529724,1.685011361312866,42.41,88.91,9.1e-05,1,202.11833786964417,19.82408618927002,654375936.0,10,4104.52099609375,485258.0625
10,2.0120224655151366,1.6410097198486329,44.54,90.64,9.97534852915723e-05,1,222.0566966533661,19.834402799606323,717808128.0,11,4104.7333984375,485284.59375
11,2.0007011728286743,1.6305991222381593,44.77,90.45,9.970177445201784e-05,1,241.98033928871155,19.817479610443115,781240320.0,12,4104.9189453125,485307.03125
12,1.9914130039215088,1.6017218799591064,46.15,91.26,9.964516155915151e-05,1,261.95191955566406,19.831782817840576,844672512.0,13,4105.11083984375,485330.65625
13,1.981190351867676,1.5846632858276368,46.93,91.19,9.958365282121497e-05,1,281.81508350372314,19.758504629135132,908104704.0,14,4105.29931640625,485354.9375
14,1.9719701734542847,1.5670552452087403,47.4,91.5,9.951725498333448e-05,1,301.74838304519653,19.809112071990967,971536896.0,15,4105.470703125,485376.53125
15,1.9659252988815308,1.5680425680160524,46.77,90.99,9.94459753267812e-05,1,321.7128884792328,19.84911584854126,1034969088.0,16,4105.63330078125,485396.40625
16,1.965075427055359,1.544932369041443,47.79,91.6,9.936982166817273e-05,1,341.69018054008484,19.87410593032837,1098401280.0,17,4105.8056640625,485417.53125
17,1.961128903579712,1.5219962516784669,48.52,92.11,9.928880235861588e-05,1,361.6439416408539,19.85253095626831,1161833472.0,18,4105.97705078125,485439.9375
18,1.9480320138931275,1.5221450006484984,49.25,92.53,9.9202926282791e-05,1,381.60069489479065,19.85568356513977,1225265664.0,19,4106.1240234375,485458.3125
19,1.9517880346298218,1.5245807329177856,49.06,92.0,9.911220285797748e-05,1,401.5645065307617,19.85782790184021,1288697856.0,20,4106.25634765625,485474.21875
20,1.9326376323699952,1.4852258977890014,49.9,92.77,9.901664203302126e-05,1,421.4007852077484,19.732951879501343,1352130048.0,21,4106.4140625,485495.375
21,1.937160800933838,1.4877664546966554,50.66,92.4,9.891625428724365e-05,1,441.2413067817688,19.736066579818726,1415562240.0,22,4106.53564453125,485510.84375
22,1.9232301126480102,1.467355725288391,50.32,93.02,9.881105062929222e-05,1,461.09734535217285,19.745750188827515,1478994432.0,23,4106.69775390625,485529.625
23,1.9349322206497193,1.4723739946365357,50.9,92.39,9.870104259593363e-05,1,480.96893072128296,19.767241954803467,1542426624.0,24,4106.8056640625,485543.875
24,1.9361709466934205,1.4561308046340942,51.64,92.82,9.858624225078841e-05,1,500.9308981895447,19.85660743713379,1605858816.0,25,4106.91748046875,485558.71875
25,1.928433366394043,1.4505716667175292,51.5,93.0,9.846666218300807e-05,1,521.0155527591705,19.98116898536682,1669291008.0,26,4107.02783203125,485572.25
26,1.9168500749588013,1.4431647634506226,51.93,92.98,9.834231550589462e-05,1,541.0895574092865,19.970728158950806,1732723200.0,27,4107.1650390625,485591.0
27,1.912122367477417,1.45043571434021,51.37,92.78,9.821321585546244e-05,1,561.0201714038849,19.826828956604004,1796155392.0,28,4107.28857421875,485605.9375
28,1.9105026950836181,1.4405414699554444,52.06,93.05,9.807937738894302e-05,1,580.995050907135,19.874715566635132,1859587584.0,29,4107.41845703125,485622.90625
29,1.9080161668777467,1.4176900882720946,52.9,93.74,9.794081478323246e-05,1,600.9374969005585,19.837361812591553,1923019776.0,30,4107.5498046875,485638.875
30,1.9111163032531737,1.4133799350738525,53.78,93.44,9.779754323328192e-05,1,620.8837478160858,19.84171724319458,1986451968.0,31,4107.67041015625,485654.3125
31,1.9115686716079712,1.4132471315383912,53.14,93.67,9.764957845043137e-05,1,640.7395875453949,19.75234317779541,2049884160.0,32,4107.77001953125,485667.0
32,1.9047884021759034,1.3925690496444703,54.12,93.98,9.749693666068666e-05,1,660.6135084629059,19.769700050354004,2113316352.0,33,4107.900390625,485684.8125
33,1.91212984790802,1.4043800004959106,53.88,94.07,9.733963460294015e-05,1,680.4419846534729,19.70115089416504,2176748544.0,34,4107.99365234375,485695.90625
34,1.898145947265625,1.3917765676498413,54.16,93.83,9.717768952713513e-05,1,700.2848877906799,19.738303184509277,2240180736.0,35,4108.1201171875,485710.71875
35,1.8862100679397582,1.391300075340271,53.94,93.64,9.701111919237408e-05,1,720.2206153869629,19.749938249588013,2303612928.0,36,4108.2451171875,485726.96875
36,1.898224917602539,1.3892343563079834,54.52,94.27,9.683994186497131e-05,1,740.010880947113,19.68769645690918,2367045120.0,37,4108.33251953125,485738.8125
37,1.8951471057891847,1.380230283164978,54.96,94.14,9.666417631644977e-05,1,759.7717587947845,19.65567684173584,2430477312.0,38,4108.43505859375,485751.0625
38,1.8933555284500123,1.372846467590332,54.5,94.19,9.648384182148252e-05,1,779.5680949687958,19.694514751434326,2493909504.0,39,4108.5546875,485765.0625
39,1.8798003076553345,1.3510782426834107,55.52,94.35,9.629895815577916e-05,1,799.4201593399048,19.749966621398926,2557341696.0,40,4108.65771484375,485777.28125
40,1.8883008155822754,1.3551019386291503,55.25,94.3,9.610954559391703e-05,1,819.3132405281067,19.790653228759766,2620773888.0,41,4108.765625,485790.25
41,1.8978765993118285,1.3601702184677125,55.67,94.54,9.59156249071181e-05,2,841.468820810318,22.054081201553345,2747638272.0,43,4108.63671875,485784.96875
42,1.893398953437805,1.3786974555969238,55.44,94.3,9.571721736097089e-05,2,863.6317765712738,22.05292248725891,2874502656.0,45,4108.5869140625,485784.25
43,1.8701652530670165,1.349240182685852,56.52,94.58,9.551434471309872e-05,2,885.8518569469452,22.11229109764099,3001367040.0,47,4108.6005859375,485786.40625
44,1.8751321222305297,1.3454565307617188,56.43,94.88,9.530702921077358e-05,2,908.0496165752411,22.087145566940308,3128231424.0,49,4108.61474609375,485787.6875
45,1.8736887332916259,1.3294078268051148,57.15,94.75,9.509529358847655e-05,2,930.3147826194763,22.157941579818726,3255095808.0,51,4108.66259765625,485790.75
46,1.8715943826675414,1.334824935913086,56.48,94.5,9.487916106540466e-05,2,952.5025722980499,22.076372623443604,3381960192.0,53,4108.74462890625,485796.4375
47,1.8682968112945557,1.3261912631988526,56.61,94.39,9.465865534292465e-05,2,974.7499957084656,22.139139413833618,3508824576.0,55,4108.82470703125,485801.1875
48,1.8544305416107179,1.3204472990036011,56.62,94.59,9.443380060197386e-05,2,996.9681692123413,22.108782529830933,3635688960.0,57,4108.92041015625,485806.5625
49,1.8554179244995117,1.306558847618103,56.89,94.86,9.420462150040853e-05,2,1019.1450028419495,22.07060480117798,3762553344.0,59,4109.04541015625,485815.8125
50,1.8581031539916992,1.2903418365478516,57.98,94.91,9.397114317029974e-05,2,1041.2466311454773,21.990129947662354,3889417728.0,61,4109.1376953125,485823.3125
51,1.856782248878479,1.2872305353164673,58.23,94.95,9.373339121517747e-05,2,1063.4770843982697,22.12366271018982,4016282112.0,63,4109.25146484375,485831.15625
52,1.8479639221191406,1.2760781270980834,58.11,94.98,9.34913917072228e-05,2,1085.6867833137512,22.09956192970276,4143146496.0,65,4109.35205078125,485839.9375
53,1.8473175008773803,1.2847114269256592,58.49,95.27,9.324517118440888e-05,2,1107.9269003868103,22.13221573829651,4270010880.0,67,4109.46044921875,485846.6875
54,1.8377039447784425,1.2510997060775757,58.84,95.12,9.299475664759068e-05,2,1130.088062763214,22.051424980163574,4396875264.0,69,4109.61474609375,485857.4375
55,1.8400768125534057,1.2577370410919189,59.04,95.1,9.274017555754408e-05,2,1152.3167939186096,22.124096632003784,4523739648.0,71,4109.70068359375,485860.0
56,1.8310843301773072,1.264832664489746,58.96,95.23,9.248145583195448e-05,2,1174.5204935073853,22.096698999404907,4650604032.0,73,4109.8369140625,485870.3125
57,1.8342394109725952,1.2333537883758545,60.4,95.4,9.221862584235528e-05,2,1196.73837184906,22.114415884017944,4777468416.0,75,4109.99658203125,485882.71875
58,1.833813743019104,1.2452347764968872,59.47,95.2,9.195171441101669e-05,2,1218.9369084835052,22.0930655002594,4904332800.0,77,4110.12158203125,485893.375
59,1.8275713556289672,1.2382621570587158,59.16,94.72,9.168075080778494e-05,2,1241.1382727622986,22.097694158554077,5031197184.0,79,4110.255859375,485903.1875
60,1.8310303916931152,1.2245358362197876,60.35,95.52,9.140576474687264e-05,2,1263.3971917629242,22.152584552764893,5158061568.0,81,4110.3779296875,485912.84375
61,1.839829788208008,1.2409229036331177,59.66,95.33,9.112678638360016e-05,2,1285.6118512153625,22.112061262130737,5284925952.0,83,4110.498046875,485920.40625
62,1.8109697149276733,1.210539978981018,60.85,95.69,9.084384631108883e-05,2,1307.782692193985,22.064907789230347,5411790336.0,85,4110.65576171875,485933.0625
63,1.8212600833892822,1.234508062171936,59.19,95.25,9.055697555690607e-05,2,1330.0229895114899,22.136924505233765,5538654720.0,87,4110.75146484375,485941.375
64,1.8444338174819945,1.2313181762695313,60.23,94.99,9.02662055796628e-05,4,1356.824194431305,26.670504093170166,5792383488.0,91,4110.49169921875,485921.5625
65,1.8291863555908203,1.1933855861663818,61.01,95.63,8.99715682655637e-05,4,1383.5549175739288,26.614174604415894,6046112256.0,95,4110.29833984375,485898.21875
66,1.8117609954833984,1.2007321676254272,61.12,95.82,8.967309592491052e-05,4,1410.271322965622,26.59623098373413,6299841024.0,99,4110.14990234375,485879.78125
67,1.830887180328369,1.2139749305725098,61.39,95.65,8.937082128855891e-05,4,1436.994440793991,26.606170654296875,6553569792.0,103,4109.9794921875,485857.375
68,1.7957766731262208,1.2074514625549317,60.85,95.97,8.906477750432904e-05,4,1463.7043449878693,26.588396072387695,6807298560.0,107,4109.89794921875,485844.0625
69,1.817509366416931,1.1840340200424195,61.37,96.11,8.875499813337069e-05,4,1490.290441274643,26.46998143196106,7061027328.0,111,4109.78125,485825.6875
70,1.801579612159729,1.170449284553528,62.59,96.05,8.844151714648276e-05,4,1516.86176943779,26.4530611038208,7314756096.0,115,4109.70458984375,485809.53125
71,1.8003655101776124,1.1647653972625733,62.1,95.99,8.812436892038805e-05,4,1543.585113286972,26.579410076141357,7568484864.0,119,4109.662109375,485800.625
72,1.7936658309936524,1.1667450395584107,61.81,95.99,8.780358823396352e-05,4,1570.3769433498383,26.661742210388184,7822213632.0,123,4109.60498046875,485786.65625
